,dependent1,dependent2
2006-12-01,0.23762,0.14233099999999999
2007-01-01,0.087338,0.192209
2007-02-01,0.052243000000000005,0.104076
2007-03-01,0.11176200000000001,0.12363299999999999
2007-04-01,0.21780000000000002,0.29604199999999997
2007-05-01,0.07834699999999999,0.1001
2007-06-01,-0.073607,-0.086841
2007-07-01,0.17487600000000003,0.193896
2007-08-01,0.163532,0.15758100000000003
2007-09-01,0.05931399999999999,0.047242
2007-10-01,0.046328,-0.020009
2007-11-01,-0.158198,-0.148038
2007-12-01,0.09263699999999998,0.146329
2008-01-01,-0.158913,-0.114908
2008-02-01,-0.000523,0.031797
2008-03-01,-0.206816,-0.19594599999999998
2008-04-01,0.048337000000000005,0.024869000000000002
2008-05-01,-0.06993100000000001,-0.079876
2008-06-01,-0.21147000000000002,-0.231811
2008-07-01,0.018520000000000002,0.028158999999999997
2008-08-01,-0.15562900000000002,-0.178359
2008-09-01,-0.049794,-0.069927
2008-10-01,-0.254018,-0.268524
2008-11-01,0.093796,0.12917199999999998
2008-12-01,-0.018956000000000004,0.011864000000000001
2009-01-01,0.09491400000000001,0.13234
2009-02-01,0.052021000000000005,0.056662
2009-03-01,0.14932,0.184853
2009-04-01,0.04630600000000001,0.048824000000000006
2009-05-01,0.061397999999999994,0.052645000000000004
2009-06-01,0.12423099999999998,0.11485900000000002
2009-07-01,0.154873,0.170017
2009-08-01,-0.214734,-0.21526199999999998
2009-09-01,0.043721,0.049862
2009-10-01,0.083528,0.094212
2009-11-01,0.07670300000000001,0.083194
2009-12-01,0.021838,0.028439
2010-01-01,-0.08497199999999999,-0.086369
2010-02-01,0.025195,0.029186
2010-03-01,0.01962,0.022713999999999998
2010-04-01,-0.07868,-0.07861199999999999
2010-05-01,-0.090748,-0.085362
2010-06-01,-0.07659099999999999,-0.07808599999999999
2010-07-01,0.11475099999999999,0.120527
2010-08-01,0.022073,0.023707
2010-09-01,0.006444,0.009677
2010-10-01,0.11864200000000001,0.11844
2010-11-01,-0.041709,-0.046716
2010-12-01,-0.008162,-0.010495
2011-01-01,-0.028297,-0.021737000000000003
2011-02-01,0.051856000000000006,0.050747
2011-03-01,-0.005138,0.0007209999999999999
2011-04-01,-0.016817,-0.015115
2011-05-01,-0.065057,-0.06260500000000001
2011-06-01,0.024516,0.021348
2011-07-01,-0.012896000000000001,-0.014239000000000002
2011-08-01,-0.047566,-0.049673999999999996
2011-09-01,-0.094049,-0.09069
2011-10-01,0.039382,0.040224
2011-11-01,-0.055597,-0.054058999999999996
2011-12-01,-0.081774,-0.074518
2012-01-01,0.027525,0.032373
2012-02-01,0.072239,0.067262
2012-03-01,-0.07075300000000001,-0.07152599999999999
2012-04-01,0.056725000000000005,0.057243
2012-05-01,-0.0006140000000000004,-0.004256
2012-06-01,-0.052634999999999994,-0.053964
2012-07-01,-0.060399999999999995,-0.057009
2012-08-01,-0.026482,-0.027354999999999997
2012-09-01,0.020313,0.02265
2012-10-01,-0.011531,-0.011952
2012-11-01,-0.064896,-0.060919
2012-12-01,0.15055400000000002,0.147681
2013-01-01,0.050963999999999995,0.048214999999999994
2013-02-01,-0.00037100000000000024,-0.003867
2013-03-01,-0.054193,-0.054214000000000005
2013-04-01,-0.027199,-0.027336
2013-05-01,0.076145,0.070858
2013-06-01,-0.13760199999999997,-0.13841799999999999
2013-07-01,0.02434,0.021995
2013-08-01,0.05288999999999999,0.050643
2013-09-01,0.039678,0.036191999999999995
2013-10-01,-0.021353,-0.01977
2013-11-01,0.039777,0.037883999999999994
2013-12-01,-0.043426000000000006,-0.043822
2014-01-01,-0.029237,-0.033335000000000004
2014-02-01,0.01159,0.010883
2014-03-01,-0.023504,-0.019012
2014-04-01,-0.008112000000000001,-0.007735
2014-05-01,0.010275,0.009933
2014-06-01,0.021307,0.020205
2014-07-01,0.08505800000000001,0.08747100000000001
2014-08-01,0.017193,0.012225
2014-09-01,0.077354,0.074771
2014-10-01,0.019584,0.021103999999999998
2014-11-01,0.088939,0.09324600000000001
2014-12-01,0.14548000000000003,0.16328
2015-01-01,0.012018000000000001,0.005563000000000002
2015-02-01,0.042032,0.038047000000000004
2015-03-01,0.153894,0.146355
2015-04-01,0.174478,0.17628
2015-05-01,0.09170299999999999,0.065647
2015-06-01,-0.081234,-0.071031
2015-07-01,-0.152303,-0.151109
2015-08-01,-0.143398,-0.13760199999999997
2015-09-01,-0.059736,-0.059469
2015-10-01,0.138975,0.13253199999999998
2015-11-01,0.038816,0.030633
2015-12-01,0.03857,0.038709
2016-01-01,-0.25241399999999997,-0.24581099999999997
2016-02-01,-0.020984,-0.019882999999999998
2016-03-01,0.137842,0.133969
2016-04-01,-0.022591,-0.020829
2016-05-01,-0.008145,-0.006834
2016-06-01,0.023758,0.01861
2016-07-01,0.014412000000000001,0.018580000000000003
2016-08-01,0.039602,0.040034
2016-09-01,-0.02302,-0.020612
2016-10-01,0.030219000000000003,0.028997000000000002
2016-11-01,0.040508,0.043315
2016-12-01,-0.051172999999999996,-0.045863
2017-01-01,0.0038319999999999995,0.012817000000000002
2017-02-01,0.03378,0.024929999999999997
