,book_value
2014-02-01,18300700000000.0
2014-03-01,18300700000000.0
2014-04-01,18907000000000.0
2014-05-01,18907000000000.0
2014-06-01,18907000000000.0
2014-07-01,19826200000000.0
2014-08-01,19826200000000.0
2014-09-01,19826200000000.0
2014-10-01,20030200000000.0
2014-11-01,20030200000000.0
2014-12-01,20030200000000.0
2015-01-01,20915700000000.0
2015-02-01,20915700000000.0
2015-03-01,20915700000000.0
2015-04-01,22064000000000.0
2015-05-01,22064000000000.0
2015-06-01,22064000000000.0
2015-07-01,23412200000000.0
2015-08-01,23412200000000.0
2015-09-01,23412200000000.0
2015-10-01,24387500000000.0
2015-11-01,24387500000000.0
2015-12-01,24387500000000.0
2016-01-01,25104100000000.0
2016-02-01,25104100000000.0
2016-03-01,25104100000000.0
2016-04-01,26414800000000.0
2016-05-01,26414800000000.0
2016-06-01,26414800000000.0
2016-07-01,27382400000000.0
2016-08-01,27382400000000.0
2016-09-01,27382400000000.0
2016-10-01,27897900000000.0
2016-11-01,27897900000000.0
2016-12-01,27897900000000.0
2017-01-01,29478600000000.0
2017-02-01,29478600000000.0
2017-03-01,29478600000000.0
2017-04-01,30967700000000.0
2017-05-01,30967700000000.0
2017-06-01,30967700000000.0
2017-07-01,32332500000000.0
2017-08-01,32332500000000.0
2017-09-01,32332500000000.0
2017-10-01,32621200000000.0
2017-11-01,32621200000000.0
2017-12-01,32621200000000.0
2018-01-01,33952400000000.0
2018-02-01,33952400000000.0
2018-03-01,33952400000000.0
2018-04-01,35511800000000.0
2018-05-01,35511800000000.0
2018-06-01,35511800000000.0
2018-07-01,36667800000000.0
2018-08-01,36667800000000.0
2018-09-01,36667800000000.0
2018-10-01,37198300000000.0
2018-11-01,37198300000000.0
2018-12-01,37198300000000.0
2019-01-01,38585100000000.0
2019-02-01,38585100000000.0
2019-03-01,38585100000000.0
2019-04-01,39650400000000.0
2019-05-01,39650400000000.0
2019-06-01,39650400000000.0
2019-07-01,41245900000000.0
2019-08-01,41245900000000.0
2019-09-01,41245900000000.0
2019-10-01,41693100000000.0
2019-11-01,41693100000000.0
2019-12-01,41693100000000.0
