,M0G,M1G,M2G
1996-02-01,0.09069407631922699,0.026492937764605484,-0.038674578810050986
1996-03-01,0.0814352737356765,-0.04795099400723157,0.09207034126127978
1996-04-01,-0.1216805381885272,-0.055712228475726655,0.011510238640283443
1996-05-01,-0.03356061255217846,0.06316507803449867,0.01877012219413099
1996-06-01,-0.023931784155420965,0.0033123399666572517,0.01760418727081836
1996-07-01,-0.005229691149753468,-0.006748485317170427,0.018732057416267933
1996-08-01,0.018734101256245417,0.012176681357948027,0.017806401615668266
1996-09-01,0.03637197140336346,0.007378327209085045,0.04272777088801094
1996-10-01,0.03900115526944958,-0.0024027985565877596,-0.003684188690204482
1996-11-01,-0.00047568081817095376,-0.006024031846770139,0.015401998262139172
1996-12-01,0.03569303985722794,0.005727561322760755,0.01353069354031744
1997-01-01,0.01114302125215394,0.01657353152399521,0.026339996223462947
1997-02-01,0.30572597137014323,0.03232884652722667,0.03355152579213594
1997-03-01,-0.12294440093970238,-0.12026170154399596,0.0044502085240565314
1997-04-01,-0.07935515873015875,0.06615537876593147,0.0075090508620470064
1997-05-01,-0.0003340481244814564,-0.005855978475209023,0.015413764335755697
1997-06-01,-0.02274442168804569,-0.0027482521084696288,0.0041203692246776225
1997-07-01,0.006132803882638482,0.016945025924512747,0.020461855060319722
1997-08-01,0.0005920014032625431,-0.025600366291379073,0.007831037959703746
1997-09-01,0.021913005368686234,0.01510191001836203,0.015408578959980934
1997-10-01,0.010625067009756739,0.004644461066815042,0.013527482123049994
1997-11-01,0.00667296124590222,-0.015058841829152403,0.00875048316265481
1997-12-01,0.031149752344820314,0.009518968572487907,0.010918240155117553
1998-01-01,0.04016728362382449,0.04323999319804517,0.0388777257677817
1998-02-01,0.2879657286590158,-0.03645816982929162,0.013364426514336447
1998-03-01,-0.16953556498123346,-0.0833610963255822,-0.002032286680388684
1998-04-01,-0.06293002243235846,0.053045357489660105,0.00014996087977059425
1998-05-01,-0.002744828938339383,0.016042538601922285,0.006781996092909637
1998-06-01,-0.018539270618303405,-0.0017439164126844542,0.013748893829185649
1998-07-01,-0.02644124834742201,0.0008518887509727513,0.007681825924033436
1998-08-01,0.03261182667379936,0.01054373061393199,0.01749885904565507
1998-09-01,0.009132843166557159,0.003019265074033717,0.010226965965487889
1998-10-01,0.039384662165430795,0.02120915897967901,0.025647745608896377
1998-11-01,-0.002536094224924068,-0.03359327656218647,0.010829254117210807
1998-12-01,0.016159904011884274,0.009236220037924125,0.013420543404127017
1999-01-01,0.04996720082466499,0.024100685717969084,0.022200158467753806
1999-02-01,0.07075917959336664,-0.039682067231912255,0.009583869624922858
1999-03-01,0.06559973326665003,-0.008187031529231725,0.021592417061611302
1999-04-01,-0.11282853566958695,-0.01123021513496869,0.006125554380300269
1999-05-01,-0.010280736404034707,0.017930502347564214,0.007191192771551114
1999-06-01,-0.029933184855233885,-0.0012719104790775981,0.007718507938252017
1999-07-01,-0.0007806042795481805,0.022806465208717097,0.011834346407901153
1999-08-01,0.029272551812876246,-0.01716041153203296,0.00045346994302430943
1999-09-01,0.017501562639521406,0.023955850395908973,0.012682427702084054
1999-10-01,0.07548924967090831,0.017050532338162894,0.0199624203426485
1999-11-01,-0.008257719172269806,-0.03698806266169363,0.00269987738889621
1999-12-01,0.027069277604081066,0.017767868023698563,0.010130860559840471
2000-01-01,0.07790595209484907,0.030744990931832916,0.028645578633996527
2000-02-01,0.19608338597599495,-0.04090257495602034,0.01103021821066097
2000-03-01,-0.13116149597052296,-0.05659028559033186,0.0029945454725441856
2000-04-01,-0.053464921690624334,0.051329773351518004,0.00841743198495859
2000-05-01,0.03325173398612824,0.014973705703101858,0.012356979815641544
2000-06-01,-0.04387773755986979,-0.02200406846518277,-0.0005528437494536353
2000-07-01,-0.005308421507481564,0.029303731704876546,0.02057245578007838
2000-08-01,0.011566164643503907,-0.037608119196309464,-0.0022227342245385584
2000-09-01,0.016889788826334184,0.027248869079584126,0.011608094492317811
2000-10-01,0.03856957487584722,0.012779205551917805,0.02099955943447962
2000-11-01,-0.021968104362170005,-0.04853893086574623,-0.007291883185165604
2000-12-01,0.021211307300884163,0.029827898392813523,0.011361969400823568
2001-01-01,0.0558449887229151,0.02975366637954724,0.02760605880861622
2001-02-01,0.1614910562558436,-0.022772937265730597,0.02179127451614038
2001-03-01,-0.12389637921896612,-0.06795923512994695,-0.00969481465626576
2001-04-01,-0.03677100330708982,0.06418755803173282,0.01860573259691245
2001-05-01,0.01816375298354278,-0.01561938521790518,0.0086878423830401
2001-06-01,-0.04655067123755119,-0.01778532468412186,-0.006673890682983963
2001-07-01,8.320016525265039e-05,0.06381463933490072,0.06325775537521494
2001-08-01,0.009192853413504842,-0.08085212209582926,0.009600589731375564
2001-09-01,0.021213620038062375,0.07362717182717449,0.004778101374983246
2001-10-01,0.04832732898032255,-0.028139591450770496,0.011344004498813343
2001-11-01,-0.038500192504281494,-0.02430399457278809,-0.0009591625577757279
2001-12-01,0.02039336923810864,0.017622018132271267,0.017102950713626663
2002-01-01,0.06148849797022993,0.0499021151736001,0.02734535977098851
2002-02-01,0.0661038447809903,-0.04641698955052709,0.008448224563318618
2002-03-01,-0.005042482044303798,-0.04268929077935957,0.008120307741322108
2002-04-01,-0.06591453320153473,0.04407323618018688,0.019442436567324917
2002-05-01,0.020556938312459083,0.0034362182965888,0.003084090611397583
2002-06-01,-0.03915172419879254,-0.0035939059650662575,0.008825636857527908
2002-07-01,-0.009559754039048518,0.017982695897957868,0.021552676436397356
2002-08-01,0.017242098778924797,-0.02553092114689126,0.007369639514428261
