year,month,ret1,ret2
1996,1,0.007330157775999997,0.007060534557
1996,2,0.00180748517,0.001918853155
1996,3,0.010990851712,0.010189089823000002
1996,4,0.026774548485,0.030018747185
1996,5,0.014573698767000003,0.015923878706
1996,6,0.010999068734,0.007937507876
1996,7,0.016007295572,0.015866356768
1996,8,0.008202443681,0.009103833609
1996,9,0.009848672686,0.009947251825000001
1996,10,0.011718536691000002,0.011523734378000002
1996,11,0.013543390613999999,0.014243111427
1996,12,0.049001011615,0.048925819642999996
1997,1,0.005580423512999999,0.006054884715
1997,2,0.015969626807999997,0.015927723427000003
1997,3,0.0068844620409999994,0.007190771231000002
1997,4,0.003116414739,0.003298183317
1997,5,0.033065215954,0.03493139806899999
1997,6,0.015219613926,0.016010893542999997
1997,7,0.014061695204999999,0.014749418603
1997,8,0.005967923633999998,0.005976019062
1997,9,0.017676838509000002,0.017582407316999997
1997,10,0.006948235709999999,0.007080763386999999
1997,11,0.00351519288,0.0035643564770000006
1997,12,0.002075923195000001,0.002168918187
1998,1,0.005181213228,0.005288589801
1998,2,0.001207265099,0.001219664981
1998,3,0.002847522084,0.002991852038
1998,4,0.0029279205880000003,0.002872407393
1998,5,0.0015324723759999998,0.001584105668
1998,6,0.003951190592,0.0039483590510000005
1998,7,0.0031511348289999996,0.0033023691780000005
1998,8,0.015561741397000001,0.015355024395
1998,9,0.004197833364,0.003995844563
1998,10,0.001882999113,0.0018331596450000005
1998,11,0.0012279258650000002,0.001270553754
1998,12,0.0030375878980000003,0.00305994056
1999,1,0.002504683269,0.0025166189919999995
1999,2,0.0017053340470000002,0.0017121513340000003
1999,3,0.0019699271689999995,0.0018916637089999998
1999,4,0.002668325215,0.0024511816
1999,5,0.011105262667,0.011100031132000001
1999,6,0.020064191500999997,0.020433698586999997
1999,7,0.020952926965000007,0.021655988649
1999,8,0.0027639539380000006,0.0029502917599999994
1999,9,0.005633919931,0.005557852065000002
1999,10,0.005999417118000001,0.006053447047999999
1999,11,0.001464323558,0.0014870004809999996
1999,12,0.0018889257,0.00196526704
2000,1,0.008474287275999998,0.009113090013000003
2000,2,0.014172910687,0.015183724363
2000,3,0.008346052396999998,0.008861486546000002
2000,4,0.0025747510079999997,0.002539568226
2000,5,0.0038980647019999995,0.003866347002
2000,6,0.0013611922469999999,0.0013042897249999998
2000,7,0.0009302026349999999,0.0008871738079999998
2000,8,0.0016123484870000002,0.001555348708
2000,9,0.0028989084589999994,0.00279147049
2000,10,0.0008951322829999998,0.000901709072
2000,11,0.001894807208,0.0018753228759999998
2000,12,0.0007472773699999999,0.0007972064220000001
2001,1,0.002002397507,0.001995947924
2001,2,0.0029897976229999994,0.002929300448
2001,3,0.001152809538,0.0011656515080000001
2001,4,0.0011905576320000002,0.0011647727139999999
2001,5,0.0005532643680000001,0.000531453018
2001,6,0.001135686632,0.001064780303
2001,7,0.004560090306,0.004496935625
2001,8,0.005432827647000002,0.0054642551939999996
2001,9,0.0034773884650000004,0.003651410025
2001,10,0.017823394010000004,0.018073438007
2001,11,0.0041196064619999995,0.004525010767
2001,12,0.0025236867859999997,0.002614465495
2002,1,0.020925508975,0.022509310961000003
2002,2,0.0018652903680000002,0.0020510081490000003
2002,3,0.006536666698999999,0.007138993245000001
2002,4,0.0026638386119999997,0.002751879472
2002,5,0.003931424779,0.0040601660399999994
2002,6,0.014105241111999997,0.014477005044999998
2002,7,0.0012362811439999997,0.0011928253710000005
2002,8,0.000911711846,0.000859128342
2002,9,0.001039502328,0.0010710272020000003
2002,10,0.0016213509049999996,0.0015596314319999997
2002,11,0.004872988268999999,0.005386245827000001
2002,12,0.002599169558,0.002939282619
2003,1,0.006253374413999998,0.005666417665
2003,2,0.0013994550869999998,0.0014304061920000003
2003,3,0.001854983756,0.001770674022
2003,4,0.004395693201,0.003982183772
2003,5,0.0027245743509999995,0.002737654341
2003,6,0.0015025839749999998,0.001523512807
2003,7,0.001386409972,0.0013084284380000001
2003,8,0.000748076407,0.000747532885
2003,9,0.0014963005550000003,0.001556528419
2003,10,0.002028725291,0.002043470651
2003,11,0.004414663503999999,0.004561334665
2003,12,0.002554949674,0.002172529064999999
2004,1,0.002961548327,0.002369219634
2004,2,0.0034114010770000002,0.0034247958640000005
2004,3,0.0028516445899999998,0.002920629494
2004,4,0.0023178293919999997,0.0024846603109999997
2004,5,0.0032252361290000006,0.003229946717
2004,6,0.004120614581000001,0.004348774502
2004,7,0.003938148346,0.00416909475
2004,8,0.002525155621,0.0026330550689999998
2004,9,0.009035619549000002,0.009513943192000001
2004,10,0.0039027307859999995,0.004355134604
2004,11,0.0031266782759999997,0.00342635383
2004,12,0.0021278699470000002,0.0023422721980000004
2005,1,0.0031945323639999998,0.003298252186
2005,2,0.004528283746,0.004690604551999999
2005,3,0.0029921093590000005,0.0033184947269999997
2005,4,0.005350942361000001,0.005835014281000002
2005,5,0.002375592727,0.0025596672069999995
2005,6,0.012596515564999997,0.012196718079000003
2005,7,0.004936203986,0.005182201783
2005,8,0.004875409562000001,0.004756385156
2005,9,0.003728118826999999,0.004008709513
2005,10,0.0024472441719999996,0.002589067032
2005,11,0.002149373729,0.002504897249
2005,12,0.001552994629,0.0018202337049999997
2006,1,0.002187219192,0.00219764351
2006,2,0.002531511984,0.0025312247860000006
2006,3,0.0025951369530000006,0.002622591874999999
2006,4,0.004095237862999999,0.0038826422019999996
2006,5,0.013771531992000001,0.014819528188999998
2006,6,0.007907789559,0.008814553432000003
2006,7,0.006353920658,0.008375882912
2006,8,0.003779466434,0.0050027202990000005
