,R_square,CW-test
Kintchen Sink,-0.08114351005369369,1.595386426990062
ridge,0.0070232731354297195,1.880535725153771
lasso,0.02476874814920227,2.026198688793731
elasticnet,0.026107728864194213,2.0336038469010354
lars,0.006549502965518261,1.2099193309049823
OMP,0.016294732816827362,2.066963789320149
FC,0.02623638734394873,2.02591530865491
