,utility gain,Sharpe ratio
KitchenSink,-1.5832562505781376,0.09570267192697747
ridge,2.0703691431088376,0.13872967215763654
lasso,4.050180125073545,0.15976440324932256
elastic net,4.058586536741432,0.16000871021378843
lars,-0.34549473125505614,0.09358179345970863
OMP,1.031937590697072,0.12393745157950481
FC,3.162835646739585,0.14923361569640475
