,utility gain,Sharpe ratio
KitchenSink,-1.349259671579879,0.09841239621084444
ridge,2.2900609075736904,0.14126550339289537
lasso,4.254564210156722,0.16214842369608304
elastic net,4.264031709777615,0.16239916655652456
lars,-0.15399545932835956,0.09615727022462262
OMP,1.2439727712844801,0.12642562189297776
FC,3.36985242828859,0.15166088578349401
