,dependent1,dependent2,D/E1,D/E2,D/P,D/Y,E1/P,E2/P,B/M,SVAR1,SVAR2,INF,NTIS,TO,M0G,M1G,M2G
1997-06-01,-0.005109000000000001,0.007913,-1.333865568,-1.169434206,-5.355239851,-5.277068565,-4.021374283,-4.185805645,0.183843308,0.015219614,0.016010893999999998,-0.009000000000000001,5.574755057505715,12.75433671,-0.022744422,-0.002748252,0.0041203690000000005
1997-07-01,-0.07227599999999999,-0.07608999999999999,-1.289948147,-1.124472732,-5.241916047,-5.263911232,-3.9519678999999996,-4.117443315,0.187931774,0.014061695,0.014749419,-0.017,6.175146273579056,11.57036926,0.006132804,0.016945026000000002,0.020461855
1997-08-01,-0.012554000000000001,-0.016405,-1.392463553,-1.226035545,-5.30468086,-5.299166694,-3.9122173069999997,-4.078645315,0.186898339,0.005967924,0.005976019,-0.012,5.989239583420764,10.41463721,0.000592001,-0.025600366,0.007831038
1997-09-01,-0.113825,-0.118073,-1.475186385,-1.307885729,-5.242420796,-5.344099411,-3.7672344110000004,-3.9345350669999997,0.206901626,0.017676839,0.017582406999999998,0.006,6.62427875737793,11.31637932,0.021913005,0.01510191,0.015408578999999999
1997-10-01,0.12898099999999998,0.135792,-1.529198904,-1.361380517,-5.385902024,-5.245722334,-3.85670312,-4.024521506,0.238291642,0.006948236,0.007080763,0.017,5.792263136275483,10.41125696,0.010625067,0.004644461,0.013527482
1997-11-01,-0.050931,-0.052716,-1.560228809,-1.391941249,-5.354804992,-5.3686689119999995,-3.794576183,-3.962863744,0.241618305,0.003515193,0.003564356,-0.006,6.016788105128136,8.228103684,0.006672961,-0.015058842,0.008750483
1997-12-01,0.039111,0.046438,-1.615119367,-1.4464046640000001,-5.4160724810000005,-5.363655001000001,-3.800953114,-3.969667817,0.229279492,0.002075923,0.0021689179999999997,-0.003,5.6652460213581355,7.673760323,0.031149752000000003,0.009518969,0.01091824
1998-01-01,0.015380000000000001,0.019906999999999998,-1.65760129,-1.48849607,-5.453633686,-5.414540616,-3.796032396,-3.9651376160000003,0.220489192,0.005181213,0.00528859,0.001,5.3904088296961845,7.79724265,0.040167284,0.043239993,0.038877726
1998-02-01,-0.02684,-0.027520999999999997,-1.699422068,-1.529958439,-5.444152617,-5.453296495,-3.744730548,-3.9141941780000002,0.222514564,0.001207265,0.001219665,0.006999999999999999,5.495818863016127,5.722951361000001,0.287965729,-0.03645817,0.013364427
1998-03-01,0.019150999999999998,0.017125,-1.747548105,-1.577754371,-5.483410224,-5.451826315,-3.7358621189999996,-3.9056558530000003,0.215596509,0.002847522,0.002991852,0.015,5.320723889933864,7.942566566,-0.169535565,-0.083361096,-0.0020322870000000002
1998-04-01,0.084834,0.085311,-1.769308015,-1.59891893,-5.57268255,-5.462335189,-3.8033745339999996,-3.9737636189999996,0.23426178600000003,0.0029279209999999996,0.002872407,-0.005,4.529102879862814,14.67476699,-0.062930022,0.053045357,0.000149961
1998-05-01,0.050671,0.050219,-1.7963073790000001,-1.625370547,-5.632014834,-5.5586066810000005,-3.835707455,-4.006644287,0.21768108600000002,0.0015324720000000002,0.001584106,-0.008,3.9413887226528805,12.125785,-0.0027448290000000003,0.016042538999999998,0.006781995999999999
1998-06-01,-0.064532,-0.066011,-1.6771026930000001,-1.505660229,-5.426215678999999,-5.473355734,-3.749112986,-3.9205554510000002,0.22818829300000001,0.003951191,0.003948359,-0.013999999999999999,3.430838733708077,9.847009191,-0.018539271,-0.001743916,0.013748894
1998-07-01,-0.018129,-0.016875,-1.708668785,-1.536758125,-5.418639132999999,-5.419825102999999,-3.709970348,-3.881881008,0.228459078,0.003151135,0.0033023690000000003,-0.018000000000000002,2.8695024097624473,6.906431461,-0.026441247999999997,0.000851889,0.007681826
1998-08-01,-0.13119,-0.125304,-1.53991084,-1.3675654119999998,-5.087638327,-5.213312697,-3.547727488,-3.720072915,0.25905269,0.015561741,0.015355023999999998,-0.013000000000000001,3.2781481686488716,7.404447883,0.032611827,0.010543731,0.017498859
1998-09-01,0.075624,0.069991,-1.555887845,-1.38313762,-5.155445393,-5.068337054,-3.599557548,-3.772307773,0.237441942,0.004197833,0.003995845,0.008,3.1174131223982435,9.71236713,0.009132843,0.003019265,0.010226966
1998-10-01,-0.015688,-0.013944,-1.5618013080000002,-1.388248779,-5.148778773,-5.147258855,-3.586977465,-3.7605299939999997,0.278882772,0.001882999,0.00183316,0.016,3.2041678335811996,8.426812206000001,0.039384662,0.021209158999999998,0.025647746000000003
1998-11-01,0.017178,0.019435,-1.547381035,-1.373047739,-5.151885429,-5.120454547,-3.604504393,-3.778837689,0.27025356300000003,0.001227926,0.001270554,-0.003,2.902719597740905,9.142356581,-0.002536094,-0.033593277000000005,0.010829253999999998
1998-12-01,-0.08524,-0.08703,-1.5575822940000001,-1.3824889130000002,-5.074926327,-5.148373406,-3.5173440339999997,-3.6924374139999996,0.290850014,0.003037588,0.0030599409999999996,-0.003,3.1413168834876704,4.998592567,0.016159904,0.00923622,0.013420543
1999-01-01,-0.013174000000000002,-0.009028,-1.558440806,-1.382607212,-5.059705135,-5.0622570719999995,-3.501264328,-3.6770979219999997,0.291593192,0.0025046829999999997,0.002516619,0.002,3.143121836632234,5.5326270520000005,0.049967200999999996,0.024100686,0.022200157999999998
1999-02-01,-0.04646,-0.046324000000000004,-1.5719987780000002,-1.3954440719999999,-5.018487561000001,-5.059915899,-3.446488783,-3.6230434889999996,0.303927137,0.001705334,0.001712151,0.002,3.0523421139558495,1.7234563280000001,0.07075918,-0.039682067,0.00958387
1999-03-01,0.064019,0.06161900000000001,-1.583560922,-1.406303476,-5.091504552,-5.016878302,-3.50794363,-3.6852010760000002,0.282071827,0.0019699270000000002,0.001891664,0.013000000000000001,2.952217403325286,8.650867035,0.065599733,-0.008187032,0.021592417000000003
1999-04-01,-0.037868,-0.039006,-1.5880317590000002,-1.4041694880000002,-5.069098318,-5.096412775,-3.481066559,-3.66492883,0.32414625,0.002668325,0.002451182,-0.008,3.0939328127969965,10.81166176,-0.112828536,-0.011230215,0.006125554
1999-05-01,0.11779,0.11271700000000001,-1.5894201630000002,-1.3989033130000001,-5.189498028,-5.070924299,-3.600077865,-3.790594715,0.287902268,0.011105263,0.011100031000000002,-0.01,2.7074197853388315,11.72825288,-0.010280736,0.017930502,0.007191193
1999-06-01,0.3353,0.36072600000000005,-1.448349541,-1.251127646,-5.353572603,-5.048865175,-3.9052230619999997,-4.1024449569999994,0.21228159,0.020064191999999998,0.020433699,-0.013000000000000001,1.9139226976568844,26.21989576,-0.029933185,-0.00127191,0.007718508000000001
1999-07-01,-0.058538,-0.066107,-1.361489322,-1.157511186,-5.232803044,-5.267150345,-3.871313723,-4.075291858,0.219699554,0.020952927,0.021655989,-0.018000000000000002,2.377814166414258,14.44765711,-0.000780604,0.022806465,0.011834346
1999-08-01,0.007425,0.005273,-1.369774754,-1.158988438,-5.266435326,-5.241526629,-3.896660572,-4.107446888,0.214294718,0.0027639540000000003,0.002950292,-0.009000000000000001,2.403825268148218,10.39113812,0.029272552,-0.017160412,0.00045347
1999-09-01,-0.028506999999999998,-0.026363,-1.351153094,-1.133505897,-5.231595933,-5.248252011,-3.8804428389999996,-4.098090036,0.21789391800000002,0.00563392,0.005557851999999999,0.01,2.3991564126009473,7.207622786,0.017501563,0.02395585,0.012682428
1999-10-01,-0.046327,-0.049857,-1.305873939,-1.088329229,-5.1294875289999995,-5.171152897,-3.82361359,-4.0411583,0.253052367,0.005999417,0.006053446999999999,0.02,2.339944389778628,3.266218235,0.07548925,0.017050532,0.01996242
1999-11-01,-0.043836,-0.04562,-1.3390381679999999,-1.121592897,-5.14047305,-5.147714391,-3.8014348819999997,-4.0188801530000005,0.254891456,0.001464324,0.0014869999999999998,0.0,2.5279582421469,4.352454408,-0.008257719,-0.036988063,0.0026998770000000003
1999-12-01,-0.05169,-0.050518,-1.35551102,-1.138162272,-5.098388026,-5.14222838,-3.742877006,-3.9602257539999997,0.266314554,0.001888926,0.001965267,-0.006,2.718763221169437,4.522532849,0.027069278,0.017767868,0.010130861
2000-01-01,0.139184,0.15898199999999998,-1.380392412,-1.163137399,-5.247730711,-5.108765363,-3.8673382989999996,-4.084593312,0.23176242,0.008474286999999999,0.00911309,0.0,2.3263262109222307,10.93412776,0.077905952,0.030744991,0.028645578999999997
2000-02-01,0.117069,0.12016800000000001,-1.392948476,-1.1757845279999999,-5.359863507,-5.245990083,-3.966915031,-4.184078979,0.20681804,0.014172911000000002,0.015183724,0.009000000000000001,2.092183142587316,13.16572786,0.19608338600000003,-0.040902575,0.011030218
2000-03-01,0.058868,0.05407000000000001,-1.401771898,-1.184696458,-5.426591329,-5.3545917560000005,-4.024819431,-4.241894871,0.192450658,0.008346052,0.008861487,0.019,2.023762149069341,18.08143098,-0.131161496,-0.056590286,0.002994545
2000-04-01,0.015016,0.011158,-1.390439765,-1.178711663,-5.409757091,-5.384287246,-4.0193173269999996,-4.231045428,0.20861601100000002,0.002574751,0.002539568,-0.016,1.9763924585612425,12.33568524,-0.053464922000000005,0.051329772999999995,0.008417431999999999
2000-05-01,0.027618,0.025835000000000004,-1.359665273,-1.152942033,-5.388472907000001,-5.348941164,-4.028807634,-4.235530875,0.20052993800000002,0.003898065,0.003866347,-0.009000000000000001,1.9811330922084351,8.332169425,0.033251734,0.014973706000000002,0.01235698
2000-06-01,0.022364,0.021865,-1.290432279,-1.08840336,-5.332032128,-5.290074706,-4.041599849,-4.243628768,0.192290285,0.0013611920000000002,0.00130429,-0.01,1.9840284071515568,11.91680954,-0.043877738,-0.022004067999999998,-0.000552844
2000-07-01,0.044032,0.041388999999999995,-1.260069698,-1.062452641,-5.3411325739999995,-5.2733309,-4.081062875,-4.278679933,0.179684845,0.000930203,0.0008871739999999999,-0.015,1.8554839607652962,9.197829614,-0.005308421999999999,0.029303732000000002,0.020572456
2000-08-01,-0.007383,-0.006547,-1.276273279,-1.082810412,-5.32990439,-5.329778505,-4.0536311110000005,-4.2470939780000005,0.17966222699999998,0.0016123479999999998,0.001555349,-0.008,1.7913637279442423,10.51588939,0.011566165,-0.037608119,-0.002222734
2000-09-01,-0.050122,-0.047077999999999995,-1.318597251,-1.1290528690000001,-5.305569009,-5.345409814,-3.986971758,-4.17651614,0.186964615,0.002898908,0.00279147,0.01,1.943617878885997,5.385260355,0.016889789,0.027248869,0.011608094
2000-10-01,0.023531,0.022366,-1.384728508,-1.191464391,-5.376596096,-5.3460603760000005,-3.9918675869999998,-4.185131705,0.205365202,0.000895132,0.000901709,0.016,1.9000639081211075,4.273806752,0.038569575,0.012779206000000001,0.020999558999999998
2000-11-01,0.054976,0.052317999999999996,-1.40431173,-1.207498677,-5.437009601000001,-5.37118043,-4.032697871,-4.229510925,0.192281548,0.001894807,0.001875323,-0.001,1.6950966720617784,7.564568427,-0.021968104,-0.048538930999999993,-0.007291883000000001
2000-12-01,-0.003624,-0.003961,-1.4203182580000002,-1.220115546,-5.469362174,-5.428626974,-4.0490439160000005,-4.249246628,0.184606309,0.000747277,0.0007972060000000001,0.006999999999999999,2.28137920007362,5.21189305,0.021211307000000002,0.029827898,0.011361969
2001-01-01,-0.01026,-0.012255,-1.444126716,-1.240683118,-5.478167409,-5.469362174,-4.034040693,-4.2374842919999995,0.182987942,0.002002398,0.001995948,0.001,2.346424751889919,4.284491855,0.055844989000000005,0.029753666,0.027606059
2001-02-01,-0.060558,-0.061262,-1.468482294,-1.2619369809999998,-5.43172393,-5.479268215,-3.9632416360000002,-4.169786949,0.191898108,0.0029897979999999997,0.0029293,0.009000000000000001,2.587497278192688,3.182757386,0.161491056,-0.022772937000000004,0.021791275
2001-03-01,0.070619,0.07405700000000001,-1.483252464,-1.273735818,-5.505271144,-5.4237678439999994,-4.02201868,-4.231535326,0.17687818,0.00115281,0.0011656519999999999,0.001,2.4243981270384096,5.4472926070000005,-0.123896379,-0.067959235,-0.009694815
2001-04-01,-0.007201999999999999,-0.00731,-1.4476068969999998,-1.239085126,-5.453880045,-5.455718967,-4.006273148,-4.214794919,0.20789164,0.001190558,0.001164773,-0.006,2.346503319295704,6.094766039,-0.036771003,0.06418755799999999,0.018605733
2001-05-01,0.034636,0.033289,-1.239849293,-1.032294342,-5.270355321,-5.232406575,-4.030506029,-4.238060979,0.20015023,0.000553264,0.000531453,0.002,2.1982066670117257,4.542727943,0.018163753,-0.015619385,0.008687842
2001-06-01,0.004548,0.0009539999999999999,-1.039763564,-0.833148551,-5.06914782,-5.05673931,-4.029384256,-4.235999269,0.197682009,0.001135687,0.00106478,-0.005,2.0263159256612027,5.574872063,-0.046550670999999995,-0.017785325,-0.0066738909999999995
2001-07-01,-0.134055,-0.134358,-0.993842041,-0.7881411890000001,-4.868025439,-5.009876641,-3.874183398,-4.07988425,0.227809767,0.00456009,0.004496936,-0.012,2.07516096013079,4.236150806,8.32e-05,0.063814639,0.063257755
2001-08-01,-0.037969,-0.037078,-1.005048167,-0.8002367459999999,-4.902327549,-4.866057778,-3.897279382,-4.102090803,0.219695205,0.005432828000000001,0.005464255,-0.005,2.71965435977317,3.572221385,0.009192853,-0.080852122,0.00960059
2001-09-01,-0.049926,-0.053857,-1.009332295,-0.805386565,-4.846663598999999,-4.893609184,-3.8373313039999997,-4.041277034,0.23025485,0.003477388,0.00365141,0.001,2.7307919130030927,2.87590694,0.02121362,0.073627172,0.004778101
2001-10-01,-0.049696,-0.05038,-1.019949489,-0.817861985,-4.7931015960000005,-4.841616278,-3.773152108,-3.9752396119999998,0.272268895,0.017823394,0.018073438,0.009000000000000001,2.8006837710179133,3.8163343889999997,0.048327329,-0.028139591000000002,0.011344004
2001-11-01,0.035167000000000004,0.036819,-1.026759305,-0.826469858,-4.821561139,-4.784488495,-3.794801835,-3.995091281,0.26235997699999997,0.004119606,0.004525011,0.003,2.5772347606371326,4.163744629,-0.038500192999999995,-0.024303995,-0.0009591630000000001
2001-12-01,-0.063525,-0.064599,-1.040224586,-0.8416759070000001,-4.775619096000001,-4.819837762,-3.73539451,-3.933943189,0.27422150300000003,0.002523687,0.002614465,-0.002,1.9892888799634711,4.120836817,0.020393368999999998,0.017622018,0.017102951
2002-01-01,-0.10231,-0.109581,-1.055185997,-0.858323492,-4.671860211,-4.775619096000001,-3.6166742139999997,-3.8135367189999996,0.30420294800000003,0.020925509,0.022509311,0.001,2.110239493688605,5.429837362000001,0.061488497999999996,0.049902115,0.02734536
2002-02-01,0.024758000000000002,0.026511,-1.069301391,-0.874072999,-4.700746478,-4.671234742,-3.631445087,-3.8266734789999997,0.29535656899999996,0.00186529,0.002051008,0.003,1.9366420060973235,3.38603403,0.066103845,-0.04641699,0.008448225
2002-03-01,0.058914999999999995,0.064457,-1.085427519,-0.8917835540000001,-4.769240147,-4.7023458830000004,-3.683812628,-3.8774565930000002,0.276245253,0.0065366669999999995,0.007138993000000001,0.011000000000000001,1.7967261729186526,10.95066198,-0.005042482,-0.042689291,0.008120308
2002-04-01,0.040760000000000005,0.037689,-1.088396503,-0.8808022670000001,-4.840988864,-4.78342944,-3.752592361,-3.9601865960000002,0.305620126,0.0026638390000000003,0.002751879,-0.013000000000000001,2.0340086048590877,6.557992695,-0.065914533,0.044073235999999995,0.019442437
2002-05-01,-0.08782100000000001,-0.086767,-1.125870067,-0.9038029329999999,-4.797886766,-4.889810062,-3.672016699,-3.8940838330000003,0.33504545399999996,0.003931425,0.004060166,-0.003,2.277457049903672,4.509737486000001,0.020556938,0.003436218,0.0030840909999999997
2002-06-01,0.141029,0.131349,-1.059660497,-0.822566302,-4.8782862510000005,-4.743155078,-3.818625753,-4.055719948,0.292696148,0.014105241000000001,0.014477005,-0.003,1.9790918845714005,8.883147918999999,-0.039151724,-0.0035939059999999996,0.008825636999999999
2002-07-01,-0.045097000000000005,-0.041807,-1.0046462809999999,-0.760246415,-4.794642111,-4.836223675,-3.78999583,-4.034395696,0.316368285,0.001236281,0.001192825,-0.009000000000000001,2.1095921086160656,6.6441510610000005,-0.009559754,0.017982696,0.021552676
2002-08-01,0.007814,0.004586,-0.816790925,-0.5648364779999999,-4.636126099,-4.6199083430000005,-3.819335174,-4.07128962,0.311278882,0.000911712,0.000859128,-0.006999999999999999,1.4020826585850068,3.901794559,0.017242099,-0.025530921,0.00736964
2002-09-01,-0.055105999999999995,-0.057267,-0.7713864979999999,-0.5116153929999999,-4.553846872,-4.6040177280000005,-3.782460375,-4.04223148,0.327294407,0.0010395019999999999,0.001071027,0.003,1.5521986806980979,3.07917142,0.023112245,0.016308624,0.014046029
2002-10-01,-0.052369000000000006,-0.052818,-0.8264096329999999,-0.562546531,-4.524782179,-4.560936043,-3.6983725460000003,-3.962235648,0.356534085,0.001621351,0.0015596310000000001,0.01,2.8478247113320116,3.282379114,0.033156172000000005,0.008013679000000001,0.021554228999999998
2002-11-01,-0.058642999999999994,-0.064328,-0.882476122,-0.614872313,-4.478740279,-4.535107652,-3.596264156,-3.8638679660000004,0.377208173,0.004872988,0.005386246,0.002,3.043626003758555,5.401901452000001,-0.013485627,-0.025268315,0.00174557
2002-12-01,-0.054276,-0.053127,-0.9309184709999999,-0.6598818479999999,-4.433723305,-4.483442656,-3.5028048330000003,-3.773841457,0.396436775,0.00259917,0.002939283,-0.001,3.032302123035702,5.499324807000001,0.020714146,0.008803070999999999,0.013774341
2003-01-01,0.09805599999999999,0.09385700000000001,-0.962759303,-0.685440965,-4.537143436,-4.433723305,-3.574384132,-3.8517024710000003,0.370314694,0.006253374,0.005666418,0.003,2.8232432246821806,9.296217858,0.05699362400000001,0.029188512000000003,0.029324688999999998
2003-02-01,0.007181,0.008075,-0.994245391,-0.710990948,-4.5479388,-4.537771323,-3.5536934089999996,-3.8369478519999998,0.36656860399999996,0.001399455,0.001430406,0.011000000000000001,2.7597324762139643,4.477908178,0.229580571,-0.020991201,0.02993444
2003-03-01,-0.008456,-0.014766999999999999,-1.022185573,-0.733312781,-4.539373713,-4.545944574,-3.51718814,-3.806060932,0.36898520700000004,0.0018549839999999998,0.0017706739999999999,0.009000000000000001,2.6321747537048936,5.636942462,-0.155688493,-0.058084566,-0.002291532
2003-04-01,-0.004409000000000001,-0.013688999999999998,-1.006780428,-0.704231417,-4.515725712,-4.513920148,-3.5089452839999997,-3.811494295,0.376993935,0.004395693,0.003982184000000001,-0.006,2.367745349526669,16.06570536,-0.04630998099999999,0.060700794,0.023033647
2003-05-01,0.040838,0.04227,-1.023588275,-0.707449804,-4.556157247,-4.522585107,-3.532568972,-3.8487074430000003,0.36454753700000003,0.0027245740000000004,0.0027376540000000004,-0.002,2.1681899380864964,8.468530464,0.019562155,-0.025760863999999998,0.008446978
2003-06-01,-0.06292400000000001,-0.06854,-0.84480007,-0.51515683,-4.304102556,-4.367518586,-3.459302487,-3.788945726,0.388414469,0.001502584,0.0015235129999999998,-0.006999999999999999,2.3320473047571197,7.30564476,-0.018697746,0.022068972000000003,0.017208268999999998
2003-07-01,-0.012454,-0.013947,-0.921622615,-0.592634139,-4.318578383,-4.3186611919999995,-3.396955769,-3.725944245,0.403764831,0.00138641,0.001308428,-0.012,2.574456493746677,6.676997587000001,-0.009239832,0.022795974,0.027078143
2003-08-01,-0.035262,-0.032724,-1.12792271,-0.79951409,-4.4378356310000004,-4.466265172,-3.309912922,-3.6383215410000003,0.41540840700000004,0.0007480760000000001,0.000747533,-0.005,2.7021338163225805,4.527627271,0.02389825,-0.040195745,0.006274297
2003-09-01,-0.044417,-0.045024,-1.14579553,-0.817904018,-4.368390537,-4.400341276,-3.222595007,-3.5504865189999997,0.42889532399999997,0.001496301,0.001556528,0.006999999999999999,2.9713268939332984,5.364203634,0.014089861,0.008535159,0.021333549
2003-10-01,-0.024318,-0.039514999999999995,-1.152713802,-0.822211081,-4.347322717,-4.36487496,-3.194608915,-3.525111636,0.45025282,0.002028725,0.0020434710000000003,0.012,1.7572795364671845,5.673299251,0.039734738,0.016103701,0.014127941000000001
2003-11-01,0.024197999999999997,0.019101,-1.1407993440000002,-0.8077324370000001,-4.365911239,-4.325082152,-3.225111895,-3.558178802,0.43223964200000003,0.0044146640000000004,0.004561335,0.009000000000000001,2.25920515800962,10.20796529,-0.003042112,-0.013726277,0.004224573
2003-12-01,0.055557,0.025503,-1.147851098,-0.8122657609999999,-4.422976187,-4.3627424260000005,-3.2751250880000002,-3.6107104260000003,0.406972819,0.00255495,0.002172529,0.01,2.1271419916613774,13.839377800000001,0.010349757,-0.0071108130000000005,0.008776871
2004-01-01,0.06221,0.07309299999999999,-1.178087672,-0.8470606970000001,-4.491298836,-4.421804765,-3.313211163,-3.6442381389999996,0.399293079,0.002961548,0.00236922,0.006,2.0750755566314765,10.17727218,0.070844424,0.034053992000000005,0.022514588
2004-02-01,0.063289,0.069838,-1.20677043,-0.88000952,-4.552159168,-4.489530095,-3.345388738,-3.6721496489999996,0.375052722,0.0034114009999999997,0.003424796,0.011000000000000001,1.940038938403363,18.23905823,0.128711783,-0.044596095,0.017534947
2004-03-01,0.036153,0.030699,-1.22792833,-0.905168463,-4.586291268,-4.5437655260000005,-3.358362938,-3.681122805,0.35943769999999997,0.002851645,0.002920629,-0.002,1.9455134248608592,13.50730218,-0.107414359,0.000740256,0.008657367
2004-04-01,-0.094472,-0.100944,-1.202792045,-0.88670336,-4.444733804,-4.540710903,-3.2419417580000003,-3.5580304430000003,0.41020333700000006,0.002317829,0.00248466,0.003,2.1172586533624274,13.40264554,-0.029960128,0.030014056,0.020276878999999998
2004-05-01,-0.024756999999999998,-0.024572,-1.139329244,-0.829605472,-4.332919071,-4.361236522,-3.193589828,-3.5033135989999997,0.42198528,0.003225236,0.003229947,0.005,2.2700828628705096,5.351213541,0.030106081,-0.029506895,0.008518113
2004-06-01,-0.103414,-0.114871,-1.131205038,-0.82756065,-4.204213062,-4.305153896,-3.073008024,-3.376652412,0.46680483799999994,0.004120615,0.004348775,-0.001,2.6723562934493947,8.63406177,-0.041752354,0.01621586,0.005198609
2004-07-01,-0.009932,-0.005104999999999999,-1.149415645,-0.848113173,-4.182175672,-4.182988976,-3.032760028,-3.334062499,0.488715305,0.003938148,0.004169095,-0.006999999999999999,2.4977123312162433,9.089613861,-0.001619556,0.007534704000000001,0.01526594
2004-08-01,-0.039136000000000004,-0.046071,-1.1840918790000001,-0.88495208,-4.144663124,-4.178913491,-2.960571245,-3.259711044,0.505743938,0.002525156,0.002633055,-0.002,2.5200190513426297,7.44990454,0.020587267,-0.02855763,-0.001260425
2004-09-01,0.04697,0.051739,-1.223341171,-0.926204624,-4.195566127,-4.147360869,-2.9722249560000003,-3.2693615030000003,0.48194270200000006,0.00903562,0.009513943,0.006999999999999999,2.1240017721276305,15.28577862,0.005607679,0.020269061,0.0067284269999999995
2004-10-01,-0.056602,-0.056389999999999996,-1.259460689,-0.964224799,-4.134689427,-4.189998873,-2.875228738,-3.170464627,0.5227269,0.0039027309999999996,0.004355135,0.011000000000000001,2.1365882283005813,11.04658181,0.051554109,0.001747745,0.016800999
2004-11-01,0.015138999999999998,0.020891,-1.3100585279999999,-1.016570985,-4.165354198,-4.14526896,-2.85529567,-3.148783213,0.512332542,0.003126678,0.0034263540000000004,0.0,1.4704832282225562,12.382987,-0.021726579,-0.010942778,-6.790000000000001e-05
2004-12-01,-0.06306,-0.0704,-1.349632503,-1.0577586,-4.1055720639999995,-4.1664499,-2.7559395610000004,-3.047813464,0.544491181,0.00212787,0.0023422720000000003,-0.003,1.516052556764426,9.696786995,0.006524473,0.013878403000000001,0.013929825
