,expanding,Avew
2002-01-01,-0.033465196499733174,-0.01857871388152526
2002-02-01,0.03880343559971619,0.0597434767522584
2002-03-01,0.016156678593882506,-0.0022181391691726256
2002-04-01,0.01260444117816606,-0.008179667127945342
2002-05-01,-0.015313747806152717,0.0465055803206179
2002-06-01,0.01617611957975637,0.029311529941337712
2002-07-01,-0.014773954723088845,0.022425358658210347
2002-08-01,0.011390629806392827,0.019452879844373494
2002-09-01,-0.03461336251103325,-0.04391691495220278
2002-10-01,-0.011558445598735756,-0.03459160092864203
2002-11-01,0.03694561575739336,0.022001015118536037
2002-12-01,0.0021699500168477215,0.008631384696980406
2003-01-01,-0.025561907347968704,-0.009942462350056566
2003-02-01,-0.01947684916749337,-0.03778840900715539
2003-03-01,0.07267902375520063,0.05835479525067459
2003-04-01,0.003723529781795354,0.009581691045842389
2003-05-01,0.0315367492927755,0.038053640030946
2003-06-01,-0.004181956620775806,0.0017004878199349475
2003-07-01,-0.020218655834750687,-0.030538544033210335
2003-08-01,0.0016748132595404697,-0.000731556745736121
2003-09-01,0.004611700528670631,0.029085727599137644
2003-10-01,0.029892124530894654,0.028328728872520848
2003-11-01,0.054250644166125406,0.04590296449670147
2003-12-01,0.03919175866633895,0.026166417585842018
2004-01-01,0.016341362162041073,-0.0011883033024850027
2004-02-01,0.028224780583657683,0.008343581133501598
2004-03-01,0.06507916990098753,0.05389341817889247
2004-04-01,0.008573768594681563,0.004084475970892494
2004-05-01,0.06104429343842066,0.0406278724065518
2004-06-01,0.023114975012258038,-0.026214557630943557
2004-07-01,0.020300841674958436,0.0024779651792264518
2004-08-01,0.02196121472749027,0.0061153570590826946
2004-09-01,0.0068493935077046375,-0.003411462191438952
2004-10-01,0.03742579876288202,0.038806105196155904
2004-11-01,0.056995242149952774,0.04482619793794818
2004-12-01,0.011164315461734409,0.011816799596739152
2005-01-01,-0.005937210517569402,0.006649642882067414
2005-02-01,0.02127675805398288,0.045354715620441514
2005-03-01,0.04094369705321088,0.01083612121324612
2005-04-01,0.04370605314670517,0.073055753716094
2005-05-01,0.011141458367103785,0.0364252419369405
2005-06-01,-0.006379153007943117,0.012810320423170008
2005-07-01,-0.009042389159535813,0.010110660162454554
2005-08-01,0.0027900392383067296,0.03991271314635217
2005-09-01,0.010929649800914487,0.06320684389729035
2005-10-01,0.018786909933590334,0.03125986838936544
2005-11-01,0.02746808046889726,0.05257485944541425
2005-12-01,-0.002099020408138197,0.019046012116615225
2006-01-01,-0.019784445670754214,-0.0025697575059667743
2006-02-01,0.01726989691136044,0.048263637433803776
2006-03-01,0.048443224441029775,-0.008838825323950434
2006-04-01,0.012157351832318808,0.010777798370089641
2006-05-01,0.02310965875627563,0.004333996793176154
2006-06-01,0.044483845504997455,0.05176623267793503
2006-07-01,0.0350712555989528,0.021344030008631408
2006-08-01,0.048845983103422974,0.010967897580720531
2006-09-01,0.004425721717085329,-0.018456685328039135
2006-10-01,0.000666460402835023,-0.004792364126753096
2006-11-01,-0.019108407507197056,-0.03660932391542403
2006-12-01,-0.01225802323870695,0.002231142562336472
2007-01-01,0.003041164006358524,0.0853488147778597
2007-02-01,0.056163443497599885,0.07910854086021471
2007-03-01,0.029678221739581956,0.0035700834724902986
2007-04-01,0.034461897115834306,0.07638496002873445
2007-05-01,0.03749024164779914,0.17297109049876752
2007-06-01,0.034786114953496296,0.09043169517355018
2007-07-01,0.03032475976399502,-0.03357556924805855
2007-08-01,0.034344450332216135,0.07529851246206933
2007-09-01,0.0441070638683909,0.08533534311056609
2007-10-01,0.06279402309312224,0.07732302231660713
2007-11-01,0.03364174780105836,0.055724062202052296
2007-12-01,0.010468372950022009,0.003286130204982559
2008-01-01,0.024786170303012403,0.01375057260300469
2008-02-01,0.04163580814786032,0.054230288516072846
2008-03-01,0.047703506013166246,0.003084697169941289
2008-04-01,0.024938836873705628,-0.06432556493915528
2008-05-01,-0.033834055167687754,-0.003983912690705619
2008-06-01,-0.01731781557524492,-0.002693395184894254
2008-07-01,-0.056831161985772705,-0.00174510843212205
2008-08-01,-0.037074798641297924,-0.040585577345652366
2008-09-01,-0.05610416559133147,-0.05911545649269023
2008-10-01,-0.05573807293564609,-0.07079796434695507
2008-11-01,-0.045178787819783184,-0.048900549097142004
2008-12-01,-0.060417807608899365,-0.08161799563252999
2009-01-01,-0.05942292811344724,-0.01498355472637849
2009-02-01,-0.04900818911028676,-0.05881215505045643
2009-03-01,0.028467064870427328,0.03131056902675582
2009-04-01,-0.030275257773791586,0.04150968965564396
2009-05-01,0.03756877623515764,0.016484547900456926
2009-06-01,-0.0028640441434403807,0.025327644402067633
2009-07-01,-0.004306996547890324,0.10356245944986835
2009-08-01,0.04097093775893203,0.07183945922590111
2009-09-01,0.03645414165511737,0.10608087081795337
2009-10-01,0.020320886932870152,0.06125684510526994
2009-11-01,-0.013308873898340345,0.020232695240861152
2009-12-01,0.02151941815794206,0.052428096731476616
2010-01-01,0.011796323520042035,0.07936658061696229
2010-02-01,0.03494388626794054,0.0849022311997499
2010-03-01,0.0017923810454572031,-0.007164038213608595
2010-04-01,0.011910518633458433,0.05902204362123722
2010-05-01,0.0033246263920765073,0.017376408340557103
2010-06-01,-0.001116960519905813,-0.0233921992511635
2010-07-01,-0.019689365554595856,-0.03029559925734452
2010-08-01,-0.025964393246152934,-0.04482623864228502
2010-09-01,0.005134138662887644,0.017206122421643957
2010-10-01,0.00787266505893941,-0.00406437341515257
2010-11-01,0.0010629862866430029,-0.010908548390508421
2010-12-01,0.03516244155668535,0.008655070054372296
