,KitchenSink,ridge,lasso,elastic net,lars,OMP,FC
2002-01-01,-0.01857871388152526,-0.005958768796574918,-0.004061182620498838,-0.003062305862254873,-0.0013219045840689515,-0.013808118764878112,-0.005642456125655139
2002-02-01,0.0597434767522584,-0.00565130112330367,0.0029321558904784662,0.0039208418518448685,0.0039492478543920045,0.022311782634857173,0.005492545421653768
2002-03-01,-0.002218139169172625,-0.005160984133707774,-0.0008382362753023119,-0.000666088554943924,0.002881082349381653,-0.0016406921502401944,-0.0010849837529625104
2002-04-01,-0.008179667127945342,0.010763116117013029,0.010195699567647916,0.01076810662055666,-0.000736045062143887,-0.017345259487407717,0.0027291235511332
2002-05-01,0.0465055803206179,0.0009455252600250839,0.0011052664093600126,0.0010906885820629855,0.0008983639121844796,0.0186981363491296,0.004547596102552433
2002-06-01,0.029311529941337712,2.1535896181311066e-05,0.002979933826853811,0.0010770471674512428,0.0038921111556110954,0.006756994223498897,0.0029455244539192712
2002-07-01,0.022425358658210347,-0.007979037491127184,-0.009550428271418422,-0.00961899157218436,-0.00364385687391061,-0.004716285780841484,-0.0071017199978964125
2002-08-01,0.01945287984437349,-0.011279705901099626,-0.011417709213536536,-0.011953938587173463,-0.0007180542840095241,0.006424157605544037,-0.005789050076055022
2002-09-01,-0.04391691495220278,-0.03663477737185357,-0.038929043257899074,-0.039257601405434564,0.005090600386313612,-0.013124116426220463,-0.024570987615018813
2002-10-01,-0.03459160092864203,-0.038770576476613874,-0.03472266581656848,-0.035282316725774365,-0.007729060495114709,-0.03061682911614626,-0.029424289726043537
2002-11-01,0.02200101511853604,-0.021823701761523782,-0.010279216909337141,-0.010668611583092822,0.005096959491449468,0.0008518905595917182,-0.007364536040582513
2002-12-01,0.008631384696980406,-0.015553795976786257,-0.010875358164400484,-0.010210722705637106,-0.004010726234163346,-0.00654155608655754,-0.009438431833508948
2003-01-01,-0.009942462350056566,-0.011301164581028431,-0.009008896568008726,-0.008676861008469847,-0.0048957893256979905,-0.0193554519304217,-0.01064763268272534
2003-02-01,-0.03778840900715539,-0.015279631214745059,-0.02521233754324683,-0.02387085523289036,-0.017117830551079467,-0.03591303101969535,-0.02347873711233141
2003-03-01,0.058354795250674586,0.0180375698623862,0.019402873298343285,0.015340300271436562,0.015033191408019448,0.025068015414739183,0.018576390050984937
2003-04-01,0.009581691045842387,0.0050975001438443406,0.00549842132739619,0.0052693593319446215,-0.0007409525516867807,0.0013811476947770194,0.003301095189255078
2003-05-01,0.038053640030946,0.024633274950883285,0.016853630109008318,0.016793956269101656,0.000902869125959386,0.009608374707712277,0.013758421032532988
