,ECON,TECH,ALL
2002-01-01,-0.015379103802596812,0.042354853412153406,0.03363002266978199
2002-02-01,-0.015886493071032487,0.03273707220847803,0.029371471210626693
2002-03-01,-0.015501622588040092,0.032329742681604434,0.029256545015058328
2002-04-01,-0.006861323685045679,0.0490060513747862,0.04286650219709222
2002-05-01,-0.010080591513099325,0.07158844214366343,0.05696178921442584
2002-06-01,-0.011749597904518391,0.03335271299677579,0.02735867291292625
2002-07-01,-0.010336481799791837,0.05560227755980055,0.02293187091044797
2002-08-01,-0.014230604942913798,0.04272877122277826,0.014913111348409468
2002-09-01,-0.0210783480635539,0.031343170607834404,0.012166104877620978
2002-10-01,-0.02558692162654043,0.014160420650162523,0.016418839871531962
2002-11-01,-0.0239013663339948,0.016954264528670777,0.029887406424023995
2002-12-01,-0.0206456067468357,0.0175326641250855,0.017828048635204784
2003-01-01,-0.018719578637495023,0.005766535734271536,0.02379234563888498
2003-02-01,-0.01159635243089667,0.021044113104074166,0.03693395995402895
2003-03-01,-0.011547713678711788,0.019745344523587845,0.022251433192518495
2003-04-01,-0.009363793946486362,0.01943971199043288,0.026226954641715303
2003-05-01,-0.004830344745222068,0.018502196663506214,0.04795198081918944
2003-06-01,-0.007751705085659949,0.017140434866815216,0.02193484668705565
2003-07-01,-0.014374352170831283,0.016092899601292492,0.021503141782492907
2003-08-01,-0.010900802585367422,0.015895861774332696,0.022070432812563844
2003-09-01,-0.0051502982065741686,0.014704112310879168,0.01739351170065932
2003-10-01,-0.0036328970872904886,0.012515999007830686,0.01574237482688403
2003-11-01,-0.0036146716089393467,0.011411074369834089,0.017634551003354676
2003-12-01,-0.0017837359811095702,0.01184261235586762,0.02564935953461197
2004-01-01,0.0006362469062835274,0.01266895868625402,0.035557995574812144
2004-02-01,7.260500492673252e-05,0.011726248152571596,0.023544227240258068
2004-03-01,0.006285137268691898,0.011505077931351318,0.027954752395472144
2004-04-01,0.004147568904738663,0.011988485358070362,0.019392134412024874
2004-05-01,0.0045172173225933605,0.009992557823437878,0.008424230671699206
2004-06-01,-0.001062757566520068,0.010306057566946285,-0.004870582877376483
2004-07-01,0.00034633439080642564,0.011024498304653232,0.010898209617451488
2004-08-01,0.0010535179749313764,0.011388553143132354,0.01440496937043315
2004-09-01,0.0006519322729145781,0.012938345601168175,0.018959381485163185
2004-10-01,0.007192300353615174,0.013715086257121744,0.03791821608056003
2004-11-01,0.005061415857296244,0.012758957272340797,0.028523083298873673
2004-12-01,0.006922415858042362,0.01283690603897758,0.031065927697062824
2005-01-01,0.005780330716023536,0.010739758117065543,0.022062636093009985
2005-02-01,0.005123045278216746,0.008768091342719525,0.018416911626826758
2005-03-01,0.006486160738442566,0.010768791091528632,0.019359899522570268
2005-04-01,0.009097950611901766,0.0084928376538254,0.028722528022578447
2005-05-01,0.006659196966799737,0.007565329891223468,0.015818698802080308
2005-06-01,-0.001316839652868617,0.00539719792359779,0.004360913766568162
2005-07-01,-0.0023552817629870354,0.005736197218902055,0.02249518448986328
2005-08-01,-0.006209401033164131,0.006119824463715258,0.015380722834773576
2005-09-01,0.00463005127660638,0.007596887442785946,0.04321404917293437
2005-10-01,0.0016912891524796178,0.007614033863386653,0.03420547800300423
2005-11-01,-0.007213194783666749,0.006817565123575841,0.011115963469865396
2005-12-01,-0.006160447433707077,0.006593542650275304,0.01486389805240165
2006-01-01,-0.0038660103883487035,0.007321766640471234,0.013854833367541768
2006-02-01,0.0016697878330329298,0.008061394974675541,0.023069129602285035
2006-03-01,0.0028858413467788002,0.008593367390983507,0.02345432714833227
2006-04-01,0.0050873898352558275,0.008543808361007998,0.028669828142136294
2006-05-01,0.01770604058935725,0.01063004976803484,0.052009488398971813
2006-06-01,0.03923306707335465,0.013757952514174141,0.07576073219657639
2006-07-01,0.029474337502161743,0.014114930913483613,0.05690666989027655
2006-08-01,0.015330818201292031,0.012790060305821815,0.038977539131789446
2006-09-01,0.007177240114337909,0.01302883451609692,0.02386493069050797
2006-10-01,0.008838930271733367,0.013695112569781474,0.027536776328104244
2006-11-01,0.004018432206968969,0.014003789148596102,0.021857701139534357
2006-12-01,0.009976580860742351,0.016001467016040372,0.03171021958034925
2007-01-01,0.01622594986280631,0.019595844543712916,0.03990588243427295
2007-02-01,0.02576949945938203,0.02067793387988529,0.05218364609248638
2007-03-01,0.00964765758435841,0.021174866421640137,0.026971327913091314
2007-04-01,0.02509033249948104,0.022577867010894526,0.04620286791985154
2007-05-01,0.03047370993682405,0.025555278118110637,0.04727812509787542
2007-06-01,0.027104325592899502,0.026349867559189177,0.04033399975228721
2007-07-01,0.02464413928961873,0.024872211467017735,0.03903592287620859
2007-08-01,0.005603258343734716,0.027061745112661042,0.015850108393431508
2007-09-01,0.012649393396836723,0.029025911407915956,0.02312644358431473
2007-10-01,0.00545585132397527,0.02945732648580633,0.014063692680720566
2007-11-01,-0.002355165880878772,0.02969517917725731,0.004437440460813966
2007-12-01,-0.00800854326338906,0.027105673993707863,-0.0015406316455604911
2008-01-01,-0.005245878221766016,0.027998759457004592,0.0006004425915622849
2008-02-01,0.0012181448226382605,0.02377090203024039,0.00804213399309994
2008-03-01,-0.008190777831440711,0.02347924748356519,-0.0036701385547146317
2008-04-01,-0.0015487154482574442,0.012186392993209925,0.0029187018769554554
2008-05-01,-0.0007042941359284866,0.013811589514511278,0.0031918406789190196
2008-06-01,0.0019074437436561683,0.013190217700315565,0.005638702458908039
2008-07-01,-0.000617125153705377,-0.007860819301746185,0.001671063639557411
