,expanding,Avew
2002-01-01,0.011978427017642599,0.0013712195365051586
2002-02-01,0.017670734907305623,-0.0033487408291680205
2002-03-01,0.012402577145491187,-0.007193617789712739
2002-04-01,0.01719995538777861,0.006711934174302122
2002-05-01,0.01190754076331757,0.002753052909563516
2002-06-01,0.01056117114495242,-0.0006804554950935681
2002-07-01,0.00916151195997578,-0.0015624002250137468
2002-08-01,0.009406006450877613,-0.007980795939511932
2002-09-01,0.0066081629530022005,-0.027404583373157265
2002-10-01,0.002387199498555458,-0.028218698968542226
2002-11-01,0.00507903147006567,-0.012859814233872812
2002-12-01,3.164831620103767e-05,-0.011044724660255693
2003-01-01,0.004015167151801587,-0.005260843461145451
2003-02-01,0.015394312426309464,0.009123642795610837
2003-03-01,0.015265844961886113,0.020124696784984485
2003-04-01,0.012298540918306997,0.0018783543536338124
2003-05-01,0.020162564056832342,0.012405933874454387
2003-06-01,0.01336674293573244,0.00468173978421174
2003-07-01,0.012754356136269018,-0.0058281674975862105
2003-08-01,0.01543150488967126,0.0035199276788387226
2003-09-01,0.01885115411497551,0.023251391626041562
2003-10-01,0.018706198536970767,0.019916523240548448
2003-11-01,0.018999110032852727,0.007526869103087648
2003-12-01,0.02110159015606099,0.011944383776838968
2004-01-01,0.02318358138889961,0.01767668378963414
2004-02-01,0.02020860504451089,0.01820177615990564
2004-03-01,0.028560215560986424,0.03732161721656407
2004-04-01,0.022526520661767246,0.02193711624692361
2004-05-01,0.0263535486269195,0.015411233750978243
2004-06-01,0.016679024907687422,0.00411318516115364
2004-07-01,0.01583344504012691,0.002372389281292102
2004-08-01,0.01836700033355351,0.002788997570669987
2004-09-01,0.015073009314154418,-0.0012288670613554871
2004-10-01,0.02882553109992796,0.015962611293739864
2004-11-01,0.03061385012028809,0.0054790552385112
2004-12-01,0.01382202507137841,-0.0008222347903862938
2005-01-01,0.020659012344117034,-0.0036668047613469977
2005-02-01,0.02416184533786035,-0.0063251330990967344
2005-03-01,0.0246159929304267,0.005063872812262985
2005-04-01,0.027911048966340602,-0.00034904806599717585
2005-05-01,0.01970741566894853,-0.004378580164222501
2005-06-01,0.003686307536858112,-0.014466646679660041
2005-07-01,0.014467527354634867,-0.009852613528947037
2005-08-01,0.009751988803801072,-0.012149834385280233
2005-09-01,0.0282441392728482,0.007695887258261792
2005-10-01,0.025032112546255102,0.001482849645403401
2005-11-01,0.011665583609782633,-0.0075450523187066045
2005-12-01,0.002846424810356986,-0.011629257574862963
2006-01-01,0.006170806291834663,-0.006331641660062557
2006-02-01,0.022043915742420494,0.005166300355652719
2006-03-01,0.028470975897736443,0.020471706490090016
2006-04-01,0.012689459358738048,-0.001972819532894846
2006-05-01,0.035418217655933934,0.023048498523929185
2006-06-01,0.05537693576570022,0.07048721194754391
2006-07-01,0.04091644884018418,0.04556984243659736
2006-08-01,0.03668952858627919,0.023843725320050555
2006-09-01,0.020425090098201364,0.012175517529566119
2006-10-01,0.022706937909692516,0.02003992426350231
2006-11-01,0.023447545591865297,0.017077315805037997
2006-12-01,0.02505991942641665,0.034089229122547735
2007-01-01,0.0322988131022872,0.05864083464443084
2007-02-01,0.05157539266221722,0.06181693076552167
2007-03-01,0.031162736385763484,0.03069255837551165
2007-04-01,0.048448606710178095,0.05752800992316922
2007-05-01,0.03891269026433124,0.06520007038908951
2007-06-01,0.031920685339211115,0.056669622729521675
2007-07-01,0.03281022854887357,0.04298407671025707
2007-08-01,0.018808940810666037,0.024426998202577533
2007-09-01,0.02007035341794642,0.028075952597260957
2007-10-01,0.01359563441068804,0.020593079888693328
2007-11-01,0.000550916941084423,0.0013319742795077185
2007-12-01,-0.007154662386038823,-0.014081294484321572
2008-01-01,-0.0011725115930348693,-0.003432406363203496
2008-02-01,0.005544160129602488,0.00030441589802582215
2008-03-01,-0.0016398088333733102,-0.01762706620175767
2008-04-01,0.0033413027238318356,-0.009303666691155186
2008-05-01,0.004114443835934329,-0.008277591109797769
2008-06-01,0.006093469800134933,-0.0079285447488071
2008-07-01,0.005426686449569573,-0.007253607177596566
2008-08-01,0.013160551019922358,0.002751605600942119
2008-09-01,0.006442152321690947,-0.013128553483524458
2008-10-01,0.006486157884444482,-0.02374182716169054
2008-11-01,0.010996802022824775,-0.025844650725431583
2008-12-01,0.028383143702518775,0.0015135844884565574
2009-01-01,0.03627258719828753,0.012259299642052388
2009-02-01,0.012451832313422981,-0.023167419182732563
2009-03-01,0.051321707759326964,0.04940636600540826
2009-04-01,0.035175358853171065,0.03292773166500747
2009-05-01,0.03796346900707034,0.040267044410237825
2009-06-01,0.02306126962717282,0.010484759010198125
2009-07-01,0.026384447431599855,0.025729886643726246
2009-08-01,0.038701854044285694,0.053763958240562834
2009-09-01,0.03091227157568991,0.02602244554137695
2009-10-01,0.02453502087253486,0.015369831786174699
2009-11-01,0.009456766993450312,-0.00887874453204994
2009-12-01,0.030573700081317025,0.03196546015069349
2010-01-01,0.01794377944360647,0.010953005219501677
2010-02-01,0.017170230230039312,0.00782074117672835
2010-03-01,-0.00035036433137250846,-0.022839823872577873
2010-04-01,0.013102322496613953,0.005149893026563346
2010-05-01,0.0173278140520791,0.007923729611197456
2010-06-01,0.009670741787497699,-0.005682402978737453
2010-07-01,0.005197055257956969,-0.012070767812458964
2010-08-01,0.01437691214866855,0.003575810117374391
2010-09-01,0.02271017247321262,0.022931957414996602
2010-10-01,0.01589992354963617,0.012568228287063693
2010-11-01,0.022114035936254474,0.021790984986806334
2010-12-01,0.03086842210534989,0.03566625456279587
2011-01-01,0.011850348620932703,0.005883068510527647
