,ridge,lasso,elastic net,lars,OMP
2002-01-01,0.004842525556041755,0.0035005318196454915,0.003973653847477332,-0.006116060002721052,0.015840891353019304
2002-02-01,0.005590592159400734,0.005424032140379264,0.0054255844650155614,0.022745248660559436,0.03207279696683263
2002-03-01,0.0052952681488037945,0.0028114637580084773,0.0028135311617063907,0.030406250219569247,0.03108720474062099
2002-04-01,0.012395168431104553,0.020202651142760653,0.019652880786002913,0.020521944278418525,0.012306628812365938
2002-05-01,0.00617412482970861,0.005593933216625491,0.0043949610968669894,0.0021862729441322892,0.02516552115762838
2002-06-01,0.0037875487894740434,0.007519454131413444,0.006790100185906978,0.0157385,0.02999161410176182
2002-07-01,0.006329957300503453,0.004625521377053243,0.0038810233697338936,0.0025229466492321384,-0.0007947924018441022
2002-08-01,-0.005663955028071543,7.087475456124537e-05,-0.0036983019321026323,0.004475501570332968,0.0037062734100014594
2002-09-01,-0.026628634067918433,-0.008005882699217926,-0.014067734311877744,-0.012959048683907737,-0.01375136010312783
2002-10-01,-0.024336762833306935,-0.018186921673911727,-0.017886645470704787,0.009569839147338749,-0.0019265127988126185
2002-11-01,0.0003273409216194567,-0.005472111639864441,-0.006381564915442006,0.025226620946949496,0.027345655163239113
2002-12-01,-0.00951923921661238,-0.005128582125292325,-0.005819634514579286,0.013653255635146383,0.01635878545188013
2003-01-01,-0.010083115895474809,-0.007608116826755329,-0.007047917380868407,0.061790366257451934,-0.013347134765663737
2003-02-01,-0.01508635666524269,-0.021990331728400425,-0.018473858940105503,0.0024687212179391183,-0.03522381271034297
2003-03-01,0.01464183736431518,0.025344552178925395,0.023243164309282582,0.04046505497401304,0.061217279752627196
2003-04-01,0.003846968807159401,0.0069652456837678844,0.007152084272602777,0.013599882033953986,0.036220563534295425
2003-05-01,0.012285633730542506,0.015534361721045976,0.015394823342738076,0.019064973011841152,0.013276304934991212
2003-06-01,0.0031644608705689303,0.008311579837540953,0.007837245791014191,0.014911208582293917,0.005580258599199472
2003-07-01,-0.002770755311888057,0.004479755926459959,0.004589599515169088,0.01291869662921348,-0.010058861501711314
2003-08-01,0.0026542139842066215,0.0035332128107750903,0.0038047899894267413,0.08941962673706727,0.008344748298262095
2003-09-01,0.009711108314057415,-0.002017359490204252,-0.0014445860516509729,0.012110417582417581,0.03643862962868838
2003-10-01,0.011173582141554367,-0.0010149469536073208,-0.0006625352536666212,0.011495989130434783,0.04271387917319708
2003-11-01,0.01461749998381473,-0.000567500952452624,-0.0004929442622870223,0.01111089247311828,-0.003000663435029435
2003-12-01,0.014800816431611519,0.004444708931490756,0.005088902082841294,0.011250117021276594,-0.003143511725225803
2004-01-01,0.011840336414034397,0.009924970288044782,0.010663105315138508,0.011716505263157893,0.03587218874776621
2004-02-01,0.010099734950269001,0.010836067034550844,0.010836342011700069,0.012242479166666665,0.03345597526092259
2004-03-01,0.03382137598104143,0.024258456298305746,0.024255881024070017,0.012768731958762883,0.03150786241930836
2004-04-01,0.022366823100380295,0.01681513584196913,0.016814216392586092,0.013007346938775508,0.03079362132011465
2004-05-01,0.026976224211673838,0.010828748427395875,0.011004603239254736,0.011921696969696968,0.03945047976221466
2004-06-01,0.009449886226064158,-0.0003746541388528757,-0.0003048453822261342,0.011554909999999998,-0.002829891656365293
2004-07-01,0.012267018428254561,0.0028271968107311564,0.0033642302808425326,0.008530236802009414,-0.002963879115908884
2004-08-01,0.013210093502454827,0.0033131919857567072,0.003427202148215411,0.014918074967578243,-0.008051620821213933
2004-09-01,0.011185051686159492,0.00010864475690488054,0.0005029999271699247,0.009737951456310675,-0.023739130921727844
2004-10-01,0.021354174364503077,0.01240166301804387,0.012591655914040005,0.010095951923076921,0.011248742491661322
2004-11-01,0.016839880709672326,0.0055985416099004984,0.0062656548725926655,0.024529023416197338,-0.0030028220274164776
2004-12-01,0.018664956943227742,0.007406744611705037,0.008168108808000882,0.009329403053792686,-0.011475043935133197
2005-01-01,0.014027634880614741,0.003241697969989521,0.003777124312586373,-0.012318262716958583,-0.01940754168905981
2005-02-01,0.011119348819244613,0.0021091714570148305,0.0025607305752486185,0.004367643306277756,-0.002753384090696963
2005-03-01,0.016373306004747498,0.0031219414688456078,0.0032218554848383214,0.04575045964343247,-0.0030092068143057257
2005-04-01,0.018324493309965023,0.009485166136886292,0.009650221819987216,0.003150872298581046,-0.0026652962219160733
2005-05-01,0.016128568034931068,0.010015526651170899,0.010212657108409504,-0.0006563840891092012,-0.0025454144937566148
2005-06-01,0.004578927897954849,0.001924434844107233,0.0020148708147996967,-0.0025251841440385742,-0.0021236093974227807
2005-07-01,0.011805371230831096,0.013200677743825918,0.01348041098919649,-0.0008285484908184025,-0.0020984233537533203
2005-08-01,0.006798631838962777,0.007974360617566442,0.008182238920695466,0.0011279567383265052,-0.0020188975077571093
2005-09-01,0.02461420725990668,0.024971658982156482,0.02658684786142768,-0.00238384071741669,-0.0021267741263315664
2005-10-01,0.018611175452252497,0.01796661910172375,0.019195087493688798,0.0022431605922548425,-0.0021275417205819432
2005-11-01,0.004484014645778505,0.004848858201548107,0.00537822352868895,0.006655615506420697,-0.001609931617182269
2005-12-01,0.005659403297783434,0.007949092276150281,0.00866222306682743,0.0015895974977246782,-0.0014603504830042573
2006-01-01,0.0065082978249873125,0.008589429050892364,0.008761957290247218,-0.0009227254164775132,-0.0015078201958378303
2006-02-01,0.012573814637008572,0.015424851574744193,0.015667647923495537,0.007632024155886728,-0.0015582564809044283
2006-03-01,0.01553334220474245,0.017046628646570895,0.017259129250976953,0.01000968358183632,0.030612407130636808
