,"MA(1, 9)","MA(1, 12)","MA(2, 9)","MA(2, 12)","MA(3, 9)","MA(3, 12)",MOM9,MOM12,"VOL(1, 9)","VOL(1, 12)","VOL(2, 9)","VOL(2, 12)","VOL(3, 9)","VOL(3, 12)"
2002-01-01,0.01859586956521741,0.029871428571428597,0.01709642307692309,0.02586168181818183,0.023994500000000012,0.028370190476190497,0.01777216901408452,0.053140684210526326,0.004679909090909093,0.015994777777777795,0.008556416666666667,0.022853863636363644,0.03988287500000001,0.027688166666666684
2002-02-01,0.013558124999999997,0.02386318181818181,0.012673962962962963,0.020288999999999995,0.018502999999999995,0.022430181818181814,0.016104361111111104,0.04536815000000002,2.817391304347789e-05,0.009768210526315789,0.004121759999999995,0.01741195652173912,0.03419516,0.020846157894736837
2002-03-01,0.014006120000000009,0.023902086956521736,0.01310553571428571,0.020475208333333335,0.018763625000000003,0.02253139130434782,0.01622290410958905,0.04438671428571428,0.0010585833333333393,0.010517700000000005,0.0049154615384615396,0.01771804166666667,0.03383219230769233,0.021041750000000005
2002-04-01,0.01573338461538462,0.025360958333333357,0.01468517241379311,0.02201280000000002,0.02036968000000002,0.024047375000000024,0.016799824324324336,0.045047090909090926,0.023650326530612248,0.012822333333333342,0.006915444444444454,0.019365920000000012,0.03476118518518521,0.022845238095238102
2002-05-01,0.01737747916666667,0.02597692,0.015554333333333337,0.022733846153846153,0.021153923076923077,0.024715879999999992,0.017119293333333327,0.044860695652173904,0.023992520000000003,0.018375811320754713,0.022478085106382988,0.015490591836734692,0.006481595744680831,0.02365954545454546
2002-06-01,0.01666029629629629,0.02160007692307692,0.012219645161290319,0.018639222222222217,0.01711781481481481,0.02038753846153846,0.0157385,0.03933229166666667,0.021800098039215683,0.016409203703703693,0.020180187500000002,0.01342436,0.004516958333333328,0.014404471698113198
2002-07-01,0.015230571428571428,0.012690479999999995,0.01816259999999999,0.02301028571428571,0.014978469387755097,0.02485574074074074,0.017365649350649347,0.04340015999999999,0.024092961538461542,0.018675018181818177,0.022646489795918365,0.015926411764705883,0.007302918367346929,0.01674937037037037
2002-08-01,0.014024020000000009,0.01155739215686273,0.01678739130434782,0.014140142857142851,0.013776960000000008,0.022357428571428577,0.016564846153846156,0.03999642307692307,0.02278749056603773,0.017536232142857138,0.02129162000000001,0.014752884615384616,0.006254919999999997,0.015624890909090906
2002-09-01,0.013902254901960787,0.011485403846153843,0.01659646808510638,0.014013620000000011,0.013660039215686273,0.01332100000000001,0.01645407594936709,0.038804481481481475,0.022510203703703692,0.01736566666666666,0.021027352941176476,0.014621962264150948,0.006285490196078422,0.015485410714285712
2002-10-01,0.021102035714285712,0.026023370370370363,0.015102666666666667,0.01265833333333333,0.012337615384615391,0.011979294117647055,0.015559574999999999,0.0354505357142857,0.021098999999999996,0.0161161551724138,0.01956325,0.0133307037037037,0.005104884615384622,0.014246964912280693
2002-11-01,0.018568551724137933,0.02322364285714286,0.0162449375,0.02066175862068965,0.02154321428571429,0.021855931034482756,0.014720950617283951,0.032422275862068965,0.01978707142857143,0.014955389830508484,0.018206037735849057,0.012136163636363639,0.004020471698113218,0.013098413793103447
2002-12-01,0.01599483333333333,0.02040065517241379,0.01397560606060606,0.018018266666666664,0.0187781724137931,0.019172633333333335,0.013826268292682924,0.004849057692307692,0.003372840000000009,0.014092227272727272,0.00812417857142857,0.010872250000000005,0.002860037037037036,0.01188245762711864
2003-01-01,0.013728032258064515,0.01791143333333333,0.011968205882352945,0.015686193548387097,0.01634303333333333,0.01680332258064516,0.013005759036144579,0.003733490566037733,0.001155576923076924,0.011119695652173908,0.005972448275862069,0.020188769230769225,0.03497542857142857,0.0188125652173913
