,Kintchen Sink,ridge,lasso,elasticnet,lars,OMP,FC
2002-01-01,-0.014110672481095838,-0.012687306120726535,-0.008266688560698118,-0.007829181247382775,-0.012160225753298521,-0.03023597290341274,-0.014235874917103736
2002-02-01,0.03857679519022369,-0.009731032870566819,-0.0007584262173317942,0.0009403306313444148,0.0003988838890979209,0.00942855218475018,5.566152345878074e-05
2002-03-01,-0.014017506839691418,-0.006659194356729868,-0.0032442063530519856,-0.0028235587067902213,-0.003656220786938805,-0.008969711612634448,-0.005070578363229066
2002-04-01,-0.10952141711588034,-0.0034842587573479223,0.011754249544723958,0.011854404948611319,-0.004463316470988685,-0.014480912532314417,0.00023603334653685067
2002-05-01,0.03975883737578588,-0.0005513279733605533,0.0009917427717206783,0.0006448936963260821,0.00901764292902505,0.02529892849972181,0.007080375984686614
2002-06-01,0.0018221127207953686,-0.002210313655961307,0.00027244414902240135,4.500275603079819e-05,0.0014938838353289858,0.001138244157490475,0.0001478522483822706
2002-07-01,0.010028227181385551,-0.012541692873091056,-0.02165509715880854,-0.020435990058896968,-0.007646422721811899,-0.007131893031590675,-0.013882219168839829
2002-08-01,-0.09421255305427385,-0.01503062102360107,-0.01947512402120861,-0.01909046119126269,-0.0062994304137794985,-0.002367155005960811,-0.012452558331162536
2002-09-01,-0.054889950646785965,-0.04159549950303161,-0.04299655379196344,-0.04318516556894769,0.0029314593471171458,-0.02103462925845318,-0.029176077755055756
2002-10-01,-0.047879380319242194,-0.04291717576883753,-0.03591467958940825,-0.035228390507056916,-0.009243200355822047,-0.03037663581605863,-0.030736016407436673
2002-11-01,0.01740896715982753,-0.021311471346968973,-0.01173364912128572,-0.009416535272332585,0.013279750061329912,0.015512781421552801,-0.002733824851540913
2002-12-01,0.016910082845097308,-0.015443337662123016,-0.01318869052659544,-0.013374806934949367,-0.0007917453561055471,-0.0019997930990200336,-0.008959674715758679
2003-01-01,-0.012629847681072046,-0.012174388787305793,-0.011075116695054763,-0.01102575557281557,-0.004421372242774138,-0.028231700984179375,-0.01338566685642593
2003-02-01,-0.049859620470654085,-0.018070795594142715,-0.03361024594491307,-0.02979146803933868,-0.016203738052632526,-0.0421618300629845,-0.0279676155388023
2003-03-01,0.3517547565133854,0.02461839682717933,0.022095219746591246,0.01673377077041939,0.01335314088352243,0.007390768598166957,0.01683825936517587
2003-04-01,0.4896751038605417,0.006985378015492355,0.009606641682829766,0.008953728218489759,-0.0015101013860992427,-0.001917046007662035,0.00442372010461012
2003-05-01,-0.05259459838541862,0.023147858035804016,0.019313889456115788,0.01946304514510717,0.003389711351061896,-0.0007343578871246412,0.012916029220192846
2003-06-01,-0.010621460801676887,0.006749832352460096,0.006427976964799095,0.0067025143253858915,-0.0011823029612376783,-0.0019651651841898167,0.003346571099443517
2003-07-01,-0.044428203500963624,-0.008110425222906045,-0.0067704440110955225,-0.006427152327952544,-0.0045164346418458375,-0.014877411768455886,-0.008140373594451166
2003-08-01,-0.0008397087879626717,0.003755414945400051,0.0020500927938139953,0.0036396884503362703,0.00853100771313273,0.0023200876951219216,0.004059258319560994
2003-09-01,0.0183862293849026,0.018931656893967603,0.011544540226476737,0.011436443265716242,0.0024549291639269105,0.005093687376508373,0.009892251385319172
2003-10-01,0.027170895852373356,0.014107426433724854,0.0019137825657745723,0.0048641073385020965,0.00021719716412167724,0.01195114217569217,0.0066107311355630746
2003-11-01,-0.02366104410031401,0.011961544434925402,-0.006209561195426547,-0.004864727770640234,0.002549845089901308,0.010148602709131774,0.0027171406535783406
