,ridge,lasso,elasticnet,lars,OMP,Pool-AVG,MR
2002-01-01,0.0009609809284949397,0.00387597994234542,0.0038771210069996065,0.00877179452182672,0.024314742248165613,-2.496918892653287e-05,-0.007171153649687767
2002-02-01,-0.0013184071784428611,0.002823096738926924,0.0028239219347902258,0.006712791562975466,0.018645658702009925,0.0004170758665392418,0.06215527281165123
2002-03-01,-0.0038850078124148353,0.0015279530507951399,0.0014936841675017513,0.0068201720348204774,0.01141491022920795,-0.0030243851318163587,-0.015056370198726654
2002-04-01,0.007383054327585198,0.007379800111433349,0.007379481969065772,0.0074017179813793115,0.023296953469773268,0.010032517842164874,0.0002581421285867691
2002-05-01,0.002972813651142145,0.005382398209992381,0.0053829150401762706,0.007797393795451556,0.02979219181421785,0.003710225871447377,0.002702583745121956
2002-06-01,-0.00043139744602000774,0.001342438286950618,0.001344411688243632,0.006406336903666121,0.00883183150547959,-0.0010729331298103806,0.048859575390815736
2002-07-01,0.0039109527308854395,0.0077724666197744275,0.007773661759587472,0.010030822445008941,0.022878491414018404,0.008801281882971471,0.0256939560174942
2002-08-01,-0.00017900545600662687,0.0036657577350698405,0.003596799371369072,0.008763770282487048,0.012060708009799751,0.004434038930033449,0.04205419421195984
2002-09-01,-0.008093896307957638,-0.0008692223267553933,-0.0007682061570437667,0.005324549878874493,-0.004259626789604803,-0.0001621687300055668,-0.03211911618709564
2002-10-01,-0.016038615249367023,-0.005047985761179856,-0.005014122056837316,0.004196924512950377,-0.017659285171518997,-0.0021624083682918863,0.06208790838718414
2002-11-01,-0.010118851460581613,-0.003763260425413876,-0.0037784744734839773,0.003311813322924455,-0.00362601420415794,-0.0004176323183785885,0.024732799828052522
2002-12-01,-0.008846612694189238,-0.006877595006053007,-0.006740126923593101,0.0013274666083986533,-0.006107164936118773,0.003233643136371115,0.014199256896972656
2003-01-01,-0.007396081339777363,-0.00675194667146947,-0.006600842699159294,0.005049564201745724,-0.002902565774184866,0.00316205825973122,0.004065781831741333
2003-02-01,0.00737328430883256,0.005118719357799179,0.005270185310277889,0.006689204564391709,0.0027323644719109987,0.01226402352985835,0.023866799473762513
2003-03-01,0.006377986128198508,0.001142291892725666,0.0011557440805009922,0.008043033201573372,0.004785116077527172,0.0019717920767742337,0.039510349929332736
2003-04-01,-0.0029771508256334674,0.0027687398051239524,0.002419160448435784,0.0037795747425856396,0.003376859344828104,0.0029337611061854237,0.0016411922872066498
2003-05-01,0.013601746453512326,0.01378915515000792,0.014223714920297401,0.004219183310863563,0.006566445684564555,0.026248251918432608,0.010585849732160568
2003-06-01,0.003183887378010161,0.00340441876628476,0.003304227306269887,0.004410590743599166,0.0019790519188856897,0.008380327555848867,0.016227030754089357
2003-07-01,-0.007726125504573631,-0.0028322154454052,-0.0030432985364139513,-0.002347138310947327,-0.012621420974515973,0.005450109694090962,-0.017659808695316314
2003-08-01,-0.0005802268619008761,0.0016494349238038188,0.001341386725454115,0.001523942480661842,-0.0014572251916444457,0.005155093605640615,0.018448303639888763
2003-09-01,0.015146862276482658,0.01267062155142779,0.011777975915266201,0.011090923207826658,0.02158035290146188,-0.00010923038699004305,0.035843913070857526
2003-10-01,0.021084804863317493,0.01322929911584789,0.0129015762291397,0.009858494332756694,0.02426585231281673,0.002192737307657014,0.041369033977389336
2003-11-01,0.01204425599052945,-0.00045360543557958834,-0.0006355736395748478,0.005034526679411965,0.012391178032779834,0.0002586529176300283,0.06164639974012971
2003-12-01,0.017013000161596018,0.005237030351878008,0.006525756254268156,0.0014463910502276417,0.011951625854092108,0.010138182508641026,0.03422444015741348
