Markettype,Trddt,Cdretwdos,Cdretwdtl
21,1996/1/23,0.0048,0.005131
31,1996/1/23,0.005728,0.005331
37,1996/1/23,0.0048,0.005131
47,1996/1/23,0.005728,0.005331
53,1996/1/23,0.0048,0.005131
63,1996/1/23,0.005728,0.005331
10,1996/1/24,-0.000361,-0.000803
5,1996/1/24,0.006647,0.005812
15,1996/1/24,0.005541,0.005487
21,1996/1/24,0.006647,0.005812
31,1996/1/24,0.005541,0.005487
37,1996/1/24,0.006647,0.005812
47,1996/1/24,0.005541,0.005487
53,1996/1/24,0.006647,0.005812
63,1996/1/24,0.005541,0.005487
10,1996/1/25,0.002166,0.002182
5,1996/1/25,-0.001506,-0.002652
15,1996/1/25,-0.000987,-0.002459
21,1996/1/25,-0.001506,-0.002652
31,1996/1/25,-0.000987,-0.002459
37,1996/1/25,-0.001506,-0.002652
47,1996/1/25,-0.000987,-0.002459
53,1996/1/25,-0.001506,-0.002652
63,1996/1/25,-0.000987,-0.002459
10,1996/1/26,-0.007324,-0.006204
5,1996/1/26,0.0145,0.012895
15,1996/1/26,0.011233,0.012086
21,1996/1/26,0.0145,0.012895
31,1996/1/26,0.011233,0.012086
37,1996/1/26,0.0145,0.012895
47,1996/1/26,0.011233,0.012086
53,1996/1/26,0.0145,0.012895
63,1996/1/26,0.011233,0.012086
10,1996/1/29,-0.000425,-0.00139
5,1996/1/29,0.006387,0.006265
15,1996/1/29,0.005427,0.005933
21,1996/1/29,0.006387,0.006265
31,1996/1/29,0.005427,0.005933
37,1996/1/29,0.006387,0.006265
47,1996/1/29,0.005427,0.005933
53,1996/1/29,0.006387,0.006265
63,1996/1/29,0.005427,0.005933
10,1996/1/30,-0.012334,-0.017395
5,1996/1/30,0.005998,0.006389
15,1996/1/30,0.003405,0.005352
21,1996/1/30,0.005998,0.006389
31,1996/1/30,0.003405,0.005352
37,1996/1/30,0.005998,0.006389
47,1996/1/30,0.003405,0.005352
53,1996/1/30,0.005998,0.006389
63,1996/1/30,0.003405,0.005352
10,1996/1/31,-0.000845,-0.005606
5,1996/1/31,0.006001,0.007677
15,1996/1/31,0.0051,0.007136
21,1996/1/31,0.006001,0.007677
31,1996/1/31,0.0051,0.007136
37,1996/1/31,0.006001,0.007677
47,1996/1/31,0.0051,0.007136
53,1996/1/31,0.006001,0.007677
63,1996/1/31,0.0051,0.007136
10,1996/2/1,0.004958,0.004519
5,1996/2/1,-0.000556,-0.000708
15,1996/2/1,0.000202,-0.000488
21,1996/2/1,-0.000556,-0.000708
31,1996/2/1,0.000202,-0.000488
37,1996/2/1,-0.000556,-0.000708
47,1996/2/1,0.000202,-0.000488
53,1996/2/1,-0.000556,-0.000708
63,1996/2/1,0.000202,-0.000488
10,1996/2/2,0.004379,0.008887
5,1996/2/2,-0.004304,-0.003667
15,1996/2/2,-0.003072,-0.00312
21,1996/2/2,-0.004304,-0.003667
31,1996/2/2,-0.003072,-0.00312
37,1996/2/2,-0.004304,-0.003667
47,1996/2/2,-0.003072,-0.00312
53,1996/2/2,-0.004304,-0.003667
63,1996/2/2,-0.003072,-0.00312
10,1996/2/5,-0.008407,-0.007377
5,1996/2/5,-0.022092,-0.022582
15,1996/2/5,-0.020264,-0.021964
21,1996/2/5,-0.022092,-0.022582
31,1996/2/5,-0.020264,-0.021964
37,1996/2/5,-0.022092,-0.022582
47,1996/2/5,-0.020264,-0.021964
53,1996/2/5,-0.022092,-0.022582
63,1996/2/5,-0.020264,-0.021964
10,1996/2/6,-0.017118,-0.008517
5,1996/2/6,-0.004198,-0.004359
15,1996/2/6,-0.005968,-0.004535
21,1996/2/6,-0.004198,-0.004359
31,1996/2/6,-0.005968,-0.004535
37,1996/2/6,-0.004198,-0.004359
47,1996/2/6,-0.005968,-0.004535
53,1996/2/6,-0.004198,-0.004359
63,1996/2/6,-0.005968,-0.004535
10,1996/2/7,0.000235,-0.000674
5,1996/2/7,0.004879,0.005728
15,1996/2/7,0.004249,0.005485
21,1996/2/7,0.004879,0.005728
31,1996/2/7,0.004249,0.005485
37,1996/2/7,0.004879,0.005728
47,1996/2/7,0.004249,0.005485
53,1996/2/7,0.004879,0.005728
63,1996/2/7,0.004249,0.005485
10,1996/2/8,0.003447,0.003308
5,1996/2/8,-0.003764,-0.004414
15,1996/2/8,-0.002785,-0.004122
21,1996/2/8,-0.003764,-0.004414
31,1996/2/8,-0.002785,-0.004122
37,1996/2/8,-0.003764,-0.004414
47,1996/2/8,-0.002785,-0.004122
53,1996/2/8,-0.003764,-0.004414
63,1996/2/8,-0.002785,-0.004122
10,1996/2/9,-0.003604,-0.003081
5,1996/2/9,0.007148,0.007209
15,1996/2/9,0.00573,0.00683
21,1996/2/9,0.007148,0.007209
31,1996/2/9,0.00573,0.00683
37,1996/2/9,0.007148,0.007209
47,1996/2/9,0.00573,0.00683
53,1996/2/9,0.007148,0.007209
63,1996/2/9,0.00573,0.00683
10,1996/2/12,-0.008311,-0.021299
5,1996/2/12,0.002722,0.001741
15,1996/2/12,0.001321,0.000844
21,1996/2/12,0.002722,0.001741
31,1996/2/12,0.001321,0.000844
37,1996/2/12,0.002722,0.001741
47,1996/2/12,0.001321,0.000844
53,1996/2/12,0.002722,0.001741
63,1996/2/12,0.001321,0.000844
10,1996/2/13,0.005174,0.006955
5,1996/2/13,0.015212,0.011737
15,1996/2/13,0.013774,0.011531
21,1996/2/13,0.015212,0.011737
31,1996/2/13,0.013774,0.011531
37,1996/2/13,0.015212,0.011737
47,1996/2/13,0.013774,0.011531
53,1996/2/13,0.015212,0.011737
63,1996/2/13,0.013774,0.011531
10,1996/2/14,0.002339,0.002073
5,1996/2/14,-0.00478,-0.003446
15,1996/2/14,-0.00378,-0.003226
21,1996/2/14,-0.00478,-0.003446
31,1996/2/14,-0.00378,-0.003226
37,1996/2/14,-0.00478,-0.003446
47,1996/2/14,-0.00378,-0.003226
53,1996/2/14,-0.00478,-0.003446
63,1996/2/14,-0.00378,-0.003226
10,1996/2/15,0.002372,0.004006
5,1996/2/15,0.015679,0.014696
15,1996/2/15,0.013872,0.014253
21,1996/2/15,0.015679,0.014696
31,1996/2/15,0.013872,0.014253
37,1996/2/15,0.015679,0.014696
47,1996/2/15,0.013872,0.014253
53,1996/2/15,0.015679,0.014696
63,1996/2/15,0.013872,0.014253
10,1996/2/16,0.035462,0.033586
5,1996/2/16,0.028245,0.028137
15,1996/2/16,0.029269,0.028375
21,1996/2/16,0.028245,0.028137
31,1996/2/16,0.029269,0.028375
37,1996/2/16,0.028245,0.028137
47,1996/2/16,0.029269,0.028375
53,1996/2/16,0.028245,0.028137
63,1996/2/16,0.029269,0.028375
10,1996/3/4,-0.005087,-0.006051
5,1996/3/4,0.081861,0.08552
15,1996/3/4,0.069324,0.081766
21,1996/3/4,0.081861,0.08552
31,1996/3/4,0.069324,0.081766
37,1996/3/4,0.081861,0.08552
47,1996/3/4,0.069324,0.081766
53,1996/3/4,0.081861,0.08552
63,1996/3/4,0.069324,0.081766
10,1996/3/5,-0.001779,-0.002277
5,1996/3/5,-0.025464,-0.025809
15,1996/3/5,-0.022265,-0.024854
21,1996/3/5,-0.025464,-0.025809
31,1996/3/5,-0.022265,-0.024854
37,1996/3/5,-0.025464,-0.025809
47,1996/3/5,-0.022265,-0.024854
53,1996/3/5,-0.025464,-0.025809
63,1996/3/5,-0.022265,-0.024854
10,1996/3/6,0.003449,0.003555
5,1996/3/6,-0.044001,-0.04557
15,1996/3/6,-0.037184,-0.043416
21,1996/3/6,-0.044001,-0.04557
31,1996/3/6,-0.037184,-0.043416
37,1996/3/6,-0.044001,-0.04557
47,1996/3/6,-0.037184,-0.043416
53,1996/3/6,-0.044001,-0.04557
63,1996/3/6,-0.037184,-0.043416
10,1996/3/7,-0.011807,-0.014275
5,1996/3/7,0.017499,0.0177
15,1996/3/7,0.013301,0.016297
21,1996/3/7,0.017499,0.0177
31,1996/3/7,0.013301,0.016297
37,1996/3/7,0.017499,0.0177
47,1996/3/7,0.013301,0.016297
53,1996/3/7,0.017499,0.0177
63,1996/3/7,0.013301,0.016297
10,1996/3/8,-0.000703,-0.000613
5,1996/3/8,0.00355,0.00447
15,1996/3/8,0.002964,0.004257
21,1996/3/8,0.00355,0.00447
31,1996/3/8,0.002964,0.004257
37,1996/3/8,0.00355,0.00447
47,1996/3/8,0.002964,0.004257
53,1996/3/8,0.00355,0.00447
63,1996/3/8,0.002964,0.004257
10,1996/3/11,-0.020722,-0.017868
5,1996/3/11,-0.009131,-0.009782
15,1996/3/11,-0.010856,-0.010148
21,1996/3/11,-0.009131,-0.009782
31,1996/3/11,-0.010856,-0.010148
37,1996/3/11,-0.009131,-0.009782
47,1996/3/11,-0.010856,-0.010148
53,1996/3/11,-0.009131,-0.009782
63,1996/3/11,-0.010856,-0.010148
10,1996/3/12,0.002364,0.001893
5,1996/3/12,-0.006691,-0.007483
15,1996/3/12,-0.005396,-0.007074
