IPO_date,IPO_number
1996/12/24,12500000.00 
1996/12/26,15600000.00 
1997/1/6,15279600.00 
1997/1/24,35000000.00 
1997/1/22,101100000.00 
1997/1/21,12500000.00 
1997/1/21,17200000.00 
1997/1/31,65000000.00 
1997/1/23,16000000.00 
1997/2/27,14000000.00 
1997/2/21,75000000.00 
1997/1/20,32927100.00 
1997/1/28,12500000.00 
1997/2/28,31000000.00 
1997/2/27,12500000.00 
1997/2/18,32650000.00 
1997/3/25,18852500.00 
1997/2/20,80000000.00 
1997/2/28,14818750.00 
1997/2/26,65000000.00 
1997/3/18,50000000.00 
1997/3/28,36000000.00 
1997/4/10,25000000.00 
1997/4/15,60000000.00 
1997/3/26,70000000.00 
1997/4/16,120000000.00 
1997/4/22,17500000.00 
1997/4/11,21840000.00 
1997/4/15,16707000.00 
1997/4/22,45000000.00 
1997/5/8,30000000.00 
1997/4/18,30000000.00 
1997/5/8,80000000.00 
1997/4/8,60000000.00 
1997/3/31,14775000.00 
1997/5/9,40000000.00 
1997/4/30,40000000.00 
1997/5/22,25000000.00 
1997/5/15,30000000.00 
2001/1/12,60000000.00 
2000/12/25,50000000.00 
1997/5/20,40000000.00 
1997/6/16,80000000.00 
1997/7/16,80000000.00 
1997/6/17,23000000.00 
1997/7/4,40000000.00 
1997/7/3,70000000.00 
1997/6/11,45000000.00 
1997/4/25,20000000.00 
1997/4/28,62000000.00 
1997/6/26,85000000.00 
1997/5/9,30000000.00 
1997/7/9,40000000.00 
1997/6/26,90000000.00 
1997/6/25,25000000.00 
1997/6/26,35000000.00 
1997/6/27,60000000.00 
1997/8/6,12500000.00 
1997/6/27,30000000.00 
1997/4/16,60000000.00 
1997/5/19,52600000.00 
1997/6/27,22150000.00 
1998/1/15,120000000.00 
1997/7/8,35000000.00 
1997/4/30,40000000.00 
1997/6/9,40000000.00 
1997/6/26,60000000.00 
1997/6/11,30000000.00 
1997/7/10,30000000.00 
1997/6/6,80000000.00 
1997/5/28,45000000.00 
1997/6/6,40000000.00 
1997/6/19,50000000.00 
1997/7/31,120000000.00 
1997/7/11,13750000.00 
1997/6/6,45000000.00 
1997/6/16,45000000.00 
1997/9/23,50000000.00 
1998/3/27,17000000.00 
1997/10/14,45000000.00 
1997/9/4,50000000.00 
1997/7/29,50000000.00 
1997/8/8,55000000.00 
1997/7/3,30000000.00 
1997/7/15,77000000.00 
1998/2/12,63000000.00 
1997/7/18,55000000.00 
1997/6/18,300000000.00 
1998/5/6,15000000.00 
1998/1/8,30000000.00 
1998/3/3,25000000.00 
1998/4/16,21000000.00 
1998/4/8,80000000.00 
1998/6/16,35000000.00 
1998/6/2,20000000.00 
1998/5/28,16000000.00 
1998/6/23,30000000.00 
1998/5/19,47000000.00 
1998/6/9,50000000.00 
1997/8/18,55000000.00 
1997/10/17,90000000.00 
1997/6/25,14473100.00 
1998/6/30,45000000.00 
1998/6/26,55000000.00 
1998/7/3,120000000.00 
1997/10/8,65000000.00 
1998/10/21,250000000.00 
1998/2/25,35000000.00 
1997/6/17,120000000.00 
1997/12/2,25000000.00 
1998/8/7,50000000.00 
1998/9/11,75000000.00 
1998/11/11,80000000.00 
1999/6/25,13500000.00 
1997/9/29,30000000.00 
1998/9/28,55000000.00 
1997/6/26,13500000.00 
1997/10/31,50000000.00 
1997/11/13,35000000.00 
1998/10/7,50000000.00 
1998/6/9,45000000.00 
1998/11/26,50000000.00 
1998/8/13,50000000.00 
1998/4/27,80000000.00 
1998/11/19,60000000.00 
1998/11/4,70000000.00 
1998/10/28,12500000.00 
1998/9/15,60000000.00 
1997/9/25,13000000.00 
1997/7/25,60000000.00 
2000/10/26,32000000.00 
2002/9/26,380000000.00 
1998/3/11,40000000.00 
1999/1/7,50000000.00 
1998/6/2,120000000.00 
1998/4/2,25000000.00 
1998/9/2,35000000.00 
1998/6/16,45000000.00 
1998/5/19,50000000.00 
1999/3/19,60000000.00 
1998/1/23,77000000.00 
1998/12/3,40000000.00 
1997/10/21,40000000.00 
1997/12/18,30000000.00 
1999/1/19,60000000.00 
1999/1/15,50000000.00 
1998/12/24,57000000.00 
1998/12/10,50000000.00 
1999/4/22,70000000.00 
1997/12/25,300000000.00 
1997/11/26,86000000.00 
1999/1/28,80000000.00 
1999/4/1,30000000.00 
1999/4/8,65000000.00 
1999/4/15,60000000.00 
1999/4/29,95000000.00 
1999/7/7,35000000.00 
