,R_square,CW-test
KitchenSink,-0.08114351005369369,1.5953864269900622
ridge,0.0070232731354297195,1.8805357251537707
lasso,0.02476874814920238,2.0261986887937304
elastic net,0.026107728864194213,2.0336038469010345
lars,0.006549502965518261,1.209919330904983
OMP,0.016294732816827362,2.0669637893201487
FC,0.02623638734394873,2.025915308654911
