,R_square,CW-test
KitchenSink,-0.053765209016763515,0.9545479629950047
ridge,0.016489594210957415,1.7079152396613837
lasso,0.0204448400814774,1.809290048895586
elastic net,0.021370384500413397,1.8382238387417702
lars,-0.004373156789013066,0.861422320120927
OMP,-0.028163434954822986,0.7595153180661153
FC,0.015966780432398076,1.584249240205022
