,KitchenSink,ridge,lasso,elastic net,lars,OMP,FC,HA
KitchenSink,1.0,0.3337796473695416,0.3380485168755245,0.3320807197238882,0.14846305003329885,0.5970106798877817,0.4713398280519223,0.05481258419861956
ridge,9.329351240627837e-05,1.0,0.6770617459315516,0.704837914293408,0.08011038114377267,0.15162491511982723,0.7293091513197263,0.029805703182574805
lasso,2.21329139440396e-05,0.039999610830164345,1.0,0.6449308062144692,0.04724335764170451,0.05947489756820712,0.40666464868736374,0.021268855837651035
elastic net,1.8053921913674387e-05,0.03469946888251618,0.14457288101790267,1.0,0.043643661113299315,0.05268141204954535,0.3661691853212703,0.020897156862423216
lars,2.013241038789637e-05,0.09690580732218057,0.36244040582716597,0.38834647307090175,1.0,0.22787906411147785,0.581318648753821,0.11220924466544169
OMP,2.243413211477918e-05,0.10126264210134628,0.26690023150409536,0.2741433042144903,0.09131317453232712,1.0,0.4011226434745673,0.01929058107371684
FC,1.3879776268210797e-05,0.030152275848695065,0.3302983821243195,0.36840675736763573,0.03525667520734166,0.07080319384027323,1.0,0.021283191141908797
HA,4.5382181489417306e-05,0.07058081006068573,0.19341908979433642,0.20940128637285893,0.2539848680444876,0.10287324109674556,0.25880879771859133,1.0
