,KitchenSink,ridge,lasso,elastic net,lars,OMP,FC,HA
KitchenSink,1.0,0.3552540621734468,0.3533199508704732,0.34887368803096686,0.12313144022412004,0.515200093439427,0.413681655142247,0.05481258419861956
ridge,0.003319971840896163,1.0,0.5985044948218774,0.6183500851831859,0.0548620708130968,0.22327359054066664,0.5448682079065994,0.029805703182574694
lasso,0.0016095636029372917,0.12078164637262478,1.0,0.5849224024137767,0.032836220093385826,0.14350973231586295,0.3218575336408689,0.021268855837651035
elastic net,0.0014523304876469245,0.11213500885545857,0.26150836218517814,1.0,0.030820394491126724,0.13482385374653694,0.29747196743634663,0.020897156862423216
lars,0.0035184571577282497,0.364161555444517,0.6588979985394419,0.675894408175137,1.0,0.5757389030832607,0.8177626640624458,0.11220924466544147
OMP,0.0013951514676019405,0.18802297647600597,0.3281836043599933,0.33357503108069775,0.05710484472992816,1.0,0.3793745900126517,0.019290581073716728
FC,0.0013891222256109392,0.14693538505320525,0.4842552864748121,0.5118155348283188,0.021173308884562037,0.20649446586986753,1.0,0.021283191141908797
HA,0.006880985247592064,0.29590290163105215,0.48555077497344257,0.5024496852027713,0.4566965965388168,0.383894535008825,0.551785653073231,1.0
