,ridge,lasso,elastic net,lars,OMP,Pool-AVG,KitchenSink,HA
ridge,1.0,0.13672490581239538,0.1554696080106679,0.0018517061458057649,0.11593637772444931,0.07294215757204847,0.0011716733036415405,0.003758064346051748
lasso,0.45025381979177825,1.0,0.9232568395419342,0.0041172300104425075,0.2214052634479835,0.21471259025798917,0.002014515197479083,0.006541162521975341
elastic net,0.4010558089083347,0.02875306671816058,1.0,0.0034334403254566714,0.19509710145821513,0.18661886499753133,0.0018099200841109608,0.0059599029508236034
lars,0.8330366712286222,0.8851798917972314,0.8927563095160549,1.0,0.8164028454325565,0.7226490077205369,0.012037670623448071,0.28186053466314076
OMP,0.3991747411340527,0.31902109898183073,0.3346832135823995,0.013754092727885747,1.0,0.22435186434223997,0.002283866471529561,0.009411075593706464
Pool-AVG,0.2376130892206354,0.2417432918719713,0.29063841726911344,0.00566568698003167,0.15877570403201524,1.0,0.0018687071610806738,0.008078585250530623
KitchenSink,0.7374275031078237,0.4899936009656283,0.4940426696580783,0.13819362199295093,0.6904652697124322,0.3635985401307822,1.0,0.09513504072962875
HA,0.48727992632786354,0.5879887137260951,0.6034193452104071,0.27037516006743667,0.5431454022392621,0.5721720729371059,0.012888034029753914,1.0
